# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.37e+01  7.69e+01    5.35e+00  5.33e+00    2.33e+00  2.43e+00    1.0e-03
   1000    3.72e+00  2.91e+00    1.54e-02  1.55e-02    1.34e-01  1.04e-01    7.7e-04
   2000    3.13e+00  3.07e+00    3.02e-02  3.01e-02    1.28e-01  1.26e-01    6.0e-04
   3000    2.63e+00  3.10e+00    3.82e-02  3.77e-02    1.22e-01  1.44e-01    4.6e-04
   4000    2.19e+00  2.38e+00    6.10e-02  6.12e-02    1.15e-01  1.26e-01    3.6e-04
   5000    1.95e+00  2.24e+00    1.19e-02  1.14e-02    1.17e-01  1.34e-01    2.8e-04
   6000    1.73e+00  1.85e+00    3.15e-02  3.05e-02    1.17e-01  1.26e-01    2.1e-04
   7000    1.48e+00  1.41e+00    1.38e-02  1.42e-02    1.15e-01  1.09e-01    1.7e-04
   8000    1.33e+00  1.43e+00    2.36e-02  2.26e-02    1.17e-01  1.25e-01    1.3e-04
   9000    1.16e+00  1.08e+00    7.38e-03  7.02e-03    1.16e-01  1.07e-01    9.9e-05
  10000    1.03e+00  1.32e+00    1.02e-02  1.06e-02    1.16e-01  1.50e-01    7.7e-05
  11000    8.98e-01  7.96e-01    1.16e-02  1.12e-02    1.15e-01  1.02e-01    6.0e-05
  12000    7.93e-01  9.27e-01    1.74e-02  1.69e-02    1.15e-01  1.35e-01    4.6e-05
  13000    6.91e-01  7.67e-01    5.53e-03  6.53e-03    1.14e-01  1.27e-01    3.6e-05
  14000    6.18e-01  3.14e-01    2.37e-03  2.92e-03    1.16e-01  5.88e-02    2.8e-05
  15000    5.49e-01  7.04e-01    5.36e-03  4.94e-03    1.16e-01  1.49e-01    2.1e-05
  16000    4.82e-01  2.47e-01    4.11e-03  3.72e-03    1.15e-01  5.91e-02    1.7e-05
  17000    4.30e-01  3.97e-01    2.14e-03  1.92e-03    1.16e-01  1.07e-01    1.3e-05
  18000    3.85e-01  4.20e-01    2.24e-03  2.49e-03    1.17e-01  1.27e-01    9.9e-06
  19000    3.40e-01  3.91e-01    7.11e-04  1.66e-03    1.16e-01  1.33e-01    7.7e-06
  20000    3.03e-01  3.50e-01    2.57e-03  1.89e-03    1.15e-01  1.33e-01    5.9e-06
  21000    2.73e-01  3.31e-01    2.36e-03  1.83e-03    1.15e-01  1.40e-01    4.6e-06
  22000    2.47e-01  3.00e-01    2.10e-03  1.64e-03    1.16e-01  1.41e-01    3.5e-06
  23000    2.25e-01  2.63e-01    2.22e-04  5.53e-04    1.16e-01  1.36e-01    2.7e-06
  24000    1.73e-01  1.71e-01    9.34e-04  1.19e-03    9.77e-02  9.65e-02    2.1e-06
  25000    1.88e-01  1.64e-01    2.25e-04  5.79e-04    1.16e-01  1.01e-01    1.6e-06
  26000    1.75e-01  2.25e-01    7.82e-04  6.81e-04    1.16e-01  1.49e-01    1.3e-06
  27000    1.42e-01  1.40e-01    1.24e-03  1.41e-03    1.01e-01  9.97e-02    9.8e-07
  28000    1.54e-01  1.57e-01    5.81e-04  6.05e-04    1.16e-01  1.19e-01    7.6e-07
  29000    1.46e-01  1.57e-01    1.05e-03  4.63e-04    1.16e-01  1.25e-01    5.9e-07
  30000    1.40e-01  1.54e-01    5.48e-04  8.69e-04    1.16e-01  1.27e-01    4.6e-07
  31000    1.35e-01  1.52e-01    4.96e-04  7.06e-04    1.16e-01  1.31e-01    3.5e-07
  32000    1.31e-01  1.44e-01    7.85e-04  7.27e-04    1.16e-01  1.28e-01    2.7e-07
  33000    1.28e-01  1.39e-01    5.01e-04  4.54e-04    1.16e-01  1.27e-01    2.1e-07
  34000    1.25e-01  1.47e-01    6.47e-04  5.46e-04    1.16e-01  1.36e-01    1.6e-07
  35000    1.23e-01  1.49e-01    5.89e-04  9.73e-04    1.16e-01  1.41e-01    1.3e-07
  36000    1.21e-01  1.24e-01    5.60e-04  6.23e-04    1.16e-01  1.19e-01    9.8e-08
  37000    1.20e-01  1.62e-01    5.35e-04  5.64e-04    1.16e-01  1.56e-01    7.6e-08
  38000    1.19e-01  1.29e-01    7.75e-04  8.14e-04    1.16e-01  1.26e-01    5.9e-08
  39000    1.19e-01  1.34e-01    6.92e-04  6.03e-04    1.16e-01  1.31e-01    4.5e-08
  40000    1.18e-01  1.35e-01    6.27e-04  7.63e-04    1.16e-01  1.33e-01    3.5e-08
