#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       7.328867e-01       1.691765e-01       2.935410e-01       9.922911e-03       4.401406e-03       7.001145e-03
          10       7.567062e-01       1.816553e-01       3.029411e-01       1.424707e-02       3.458116e-03       1.038519e-02
          20       7.461365e-01       1.802815e-01       2.986834e-01       1.421774e-02       3.472091e-03       8.539226e-03
          30       7.028283e-01       1.635254e-01       2.814394e-01       5.105038e-03       1.549917e-03       3.244063e-03
          40       6.415671e-01       1.456117e-01       2.571931e-01       2.667472e-03       1.110296e-03       2.275871e-03
          50       5.919451e-01       1.307972e-01       2.379571e-01       1.551709e-02       6.110735e-03       1.100210e-02
          60       5.765920e-01       1.248910e-01       2.328336e-01       2.013356e-02       4.287222e-03       1.516731e-02
          70       6.022915e-01       1.304680e-01       2.425083e-01       9.436397e-03       3.546601e-03       6.476038e-03
          80       6.559524e-01       1.432156e-01       2.634419e-01       3.027031e-03       1.906655e-03       2.256879e-03
          90       7.103092e-01       1.533189e-01       2.851682e-01       4.216623e-03       1.609696e-03       3.296977e-03
         100       7.435042e-01       1.611190e-01       2.983551e-01       1.403925e-02       6.961585e-03       9.332890e-03
         110       7.440529e-01       1.636019e-01       2.983954e-01       1.247299e-02       5.954581e-03       9.012808e-03
         120       7.152156e-01       1.563541e-01       2.869702e-01       5.822836e-03       2.756822e-03       3.844766e-03
         130       6.676012e-01       1.454469e-01       2.680828e-01       3.643029e-03       2.269101e-03       3.065375e-03
         140       6.193340e-01       1.371402e-01       2.486870e-01       3.536796e-03       1.796974e-03       2.275596e-03
         150       5.925527e-01       1.315845e-01       2.381731e-01       1.307001e-02       3.521157e-03       9.460683e-03
         160       5.969015e-01       1.327488e-01       2.398464e-01       1.006519e-02       3.351395e-03       7.135922e-03
         170       6.293194e-01       1.441077e-01       2.522617e-01       2.105690e-03       1.437411e-03       1.763862e-03
         180       6.754461e-01       1.576442e-01       2.705662e-01       3.114104e-03       1.326486e-03       2.184975e-03
         190       7.159200e-01       1.658785e-01       2.867265e-01       4.032109e-03       1.820597e-03       3.075801e-03
         200       7.375900e-01       1.710828e-01       2.953798e-01       1.308080e-02       4.163757e-03       7.493813e-03
         210       7.317895e-01       1.700467e-01       2.930441e-01       8.514059e-03       2.561026e-03       5.896149e-03
         220       7.008391e-01       1.599889e-01       2.808636e-01       3.454760e-03       1.504542e-03       2.471513e-03
         230       6.512379e-01       1.478726e-01       2.610876e-01       3.459525e-03       2.354999e-03       2.860429e-03
         240       6.006916e-01       1.391446e-01       2.407317e-01       9.135398e-03       2.107963e-03       6.193129e-03
         250       5.750338e-01       1.340006e-01       2.305813e-01       2.379999e-02       4.961475e-03       1.723306e-02
         260       5.913929e-01       1.423435e-01       2.368661e-01       1.219845e-02       2.462435e-03       9.037942e-03
         270       6.464134e-01       1.540663e-01       2.588650e-01       3.294820e-03       2.244741e-03       2.636049e-03
         280       7.131510e-01       1.634272e-01       2.858698e-01       6.005119e-03       1.666345e-03       4.196756e-03
         290       7.581772e-01       1.737736e-01       3.039045e-01       1.704132e-02       8.264122e-03       1.178646e-02
         300       7.656915e-01       1.781032e-01       3.070677e-01       2.060910e-02       9.711630e-03       1.395356e-02
         310       7.300958e-01       1.669412e-01       2.928892e-01       9.282154e-03       2.805669e-03       6.336094e-03
         320       6.661178e-01       1.503413e-01       2.673564e-01       4.182485e-03       1.510237e-03       3.099727e-03
         330       6.010543e-01       1.397902e-01       2.415719e-01       1.142997e-02       4.764816e-03       8.203831e-03
         340       5.680328e-01       1.319529e-01       2.289513e-01       2.620338e-02       3.955285e-03       1.988928e-02
         350       5.822948e-01       1.346481e-01       2.343690e-01       2.019757e-02       7.228744e-03       1.506027e-02
         360       6.334559e-01       1.446158e-01       2.544224e-01       4.592968e-03       1.640911e-03       2.668291e-03
         370       6.945074e-01       1.600643e-01       2.787394e-01       3.447356e-03       1.679509e-03       2.614320e-03
         380       7.383952e-01       1.744737e-01       2.962298e-01       1.073418e-02       3.770429e-03       7.824853e-03
         390       7.504652e-01       1.740754e-01       3.009897e-01       1.410785e-02       7.247537e-03       1.028937e-02
         400       7.296095e-01       1.673131e-01       2.926217e-01       9.553073e-03       2.543774e-03       6.260817e-03
         410       6.829660e-01       1.617757e-01       2.738853e-01       3.381624e-03       1.771017e-03       2.208658e-03
         420       6.292520e-01       1.500938e-01       2.523315e-01       3.203306e-03       1.771494e-03       2.184553e-03
         430       5.908341e-01       1.380252e-01       2.369201e-01       1.297265e-02       3.516787e-03       9.835969e-03
         440       5.847680e-01       1.398130e-01       2.343825e-01       1.537702e-02       2.369502e-03       1.156801e-02
         450       6.142244e-01       1.477280e-01       2.460320e-01       4.401531e-03       2.315976e-03       3.277751e-03
         460       6.654206e-01       1.564846e-01       2.664778e-01       3.524183e-03       1.030257e-03       2.532071e-03
         470       7.153575e-01       1.713357e-01       2.864145e-01       4.707886e-03       1.572863e-03       3.530486e-03
         480       7.456369e-01       1.795102e-01       2.984980e-01       1.359931e-02       4.353701e-03       8.689426e-03
         490       7.463314e-01       1.760602e-01       2.988303e-01       1.194010e-02       3.904140e-03       8.501489e-03
         500       7.163807e-01       1.672200e-01       2.869121e-01       5.525410e-03       2.609309e-03       4.267801e-03
         510       6.576020e-01       1.593360e-01       2.632454e-01       3.226949e-03       1.837718e-03       2.562271e-03
         520       5.880192e-01       1.383415e-01       2.354918e-01       1.720185e-02       4.972460e-03       1.219838e-02
         530       5.505822e-01       1.220769e-01       2.224288e-01       4.133592e-02       7.696415e-03       3.263371e-02
         540       5.751384e-01       1.243079e-01       2.325802e-01       2.214638e-02       6.635482e-03       1.707078e-02
         550       6.522980e-01       1.406724e-01       2.620496e-01       3.973386e-03       2.291453e-03       3.153890e-03
         560       7.343509e-01       1.565561e-01       2.950770e-01       1.241557e-02       6.162645e-03       8.423282e-03
         570       7.784597e-01       1.629385e-01       3.130943e-01       2.221442e-02       1.355691e-02       1.875043e-02
         580       7.697187e-01       1.647704e-01       3.089929e-01       2.181817e-02       1.294156e-02       1.559799e-02
         590       7.204999e-01       1.581319e-01       2.890095e-01       9.683669e-03       3.550643e-03       5.671608e-03
         600       6.527847e-01       1.421393e-01       2.623605e-01       4.416534e-03       2.732197e-03       3.560640e-03
         610       5.948607e-01       1.312225e-01       2.391283e-01       1.215659e-02       4.358608e-03       8.944022e-03
         620       5.728508e-01       1.292222e-01       2.298533e-01       2.571467e-02       6.552908e-03       1.847455e-02
         630       5.942141e-01       1.343391e-01       2.384442e-01       1.131954e-02       2.664812e-03       8.286787e-03
         640       6.450768e-01       1.515116e-01       2.584066e-01       3.207111e-03       1.977276e-03       2.670629e-03
         650       6.994695e-01       1.720872e-01       2.798906e-01       3.591971e-03       1.792197e-03       2.284470e-03
         660       7.373823e-01       1.780097e-01       2.950966e-01       1.225584e-02       2.093256e-03       7.005501e-03
         670       7.471737e-01       1.765637e-01       2.991232e-01       1.299775e-02       3.535658e-03       8.451568e-03
         680       7.257474e-01       1.746487e-01       2.904743e-01       9.115823e-03       2.391939e-03       5.046689e-03
