#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.025449e+00       2.200925e-01       4.154258e-01       1.024862e-02       6.056293e-03       7.602083e-03
          10       1.006231e+00       2.242063e-01       4.089940e-01       1.513937e-02       7.357535e-03       1.030655e-02
          20       1.002708e+00       2.258037e-01       4.074973e-01       1.894764e-02       7.775188e-03       1.237490e-02
          30       1.033326e+00       2.401585e-01       4.157626e-01       9.895428e-03       4.246458e-03       6.756396e-03
          40       1.068900e+00       2.462540e-01       4.301285e-01       5.411651e-03       3.073902e-03       4.212541e-03
          50       1.092927e+00       2.437557e-01       4.409655e-01       2.834532e-02       1.200140e-02       1.737429e-02
          60       1.108340e+00       2.438681e-01       4.466549e-01       8.089704e-03       3.062798e-03       4.412925e-03
          70       1.088240e+00       2.342341e-01       4.388017e-01       1.156612e-02       6.544643e-03       9.434208e-03
          80       1.048058e+00       2.316914e-01       4.274551e-01       2.496245e-02       8.610038e-03       1.257945e-02
          90       1.017661e+00       2.219193e-01       4.156040e-01       1.295645e-02       4.658954e-03       9.348622e-03
         100       9.987370e-01       2.146592e-01       4.062011e-01       2.259420e-02       9.079320e-03       1.469088e-02
         110       1.001357e+00       2.283851e-01       4.140696e-01       2.550138e-02       1.073525e-02       1.536945e-02
         120       1.033660e+00       2.236432e-01       4.269100e-01       1.195066e-02       6.682846e-03       9.734865e-03
         130       1.074836e+00       2.229667e-01       4.381477e-01       1.330623e-02       7.127679e-03       1.105766e-02
         140       1.097356e+00       2.338045e-01       4.528735e-01       2.864081e-02       1.244093e-02       2.034840e-02
         150       1.096557e+00       2.338018e-01       4.477095e-01       1.277439e-02       7.897303e-03       1.013351e-02
         160       1.064419e+00       2.348604e-01       4.293590e-01       9.923573e-03       5.766016e-03       8.457302e-03
         170       1.016397e+00       2.363976e-01       4.118117e-01       2.377796e-02       9.962573e-03       1.414612e-02
         180       9.928570e-01       2.366732e-01       3.979671e-01       2.092575e-02       5.618060e-03       9.989087e-03
         190       9.968905e-01       2.388319e-01       3.990813e-01       1.368766e-02       5.643686e-03       9.147967e-03
         200       1.020437e+00       2.424308e-01       4.092907e-01       1.957163e-02       6.235783e-03       1.072129e-02
         210       1.057678e+00       2.444830e-01       4.244343e-01       8.120969e-03       5.673074e-03       7.054682e-03
         220       1.093393e+00       2.483785e-01       4.402161e-01       1.174066e-02       4.935747e-03       8.272825e-03
         230       1.105441e+00       2.465251e-01       4.445283e-01       9.248054e-03       3.703351e-03       7.254525e-03
         240       1.093216e+00       2.359134e-01       4.420545e-01       1.576686e-02       9.411653e-03       1.123062e-02
         250       1.069299e+00       2.324814e-01       4.346921e-01       1.134057e-02       2.636366e-03       5.382340e-03
         260       1.039187e+00       2.207782e-01       4.207901e-01       1.863420e-02       7.394278e-03       1.149790e-02
         270       1.020248e+00       2.243238e-01       4.170107e-01       1.531630e-02       5.934939e-03       9.516870e-03
         280       1.019575e+00       2.267495e-01       4.192583e-01       2.338645e-02       6.829894e-03       1.235753e-02
         290       1.035402e+00       2.162483e-01       4.211552e-01       1.466626e-02       6.371974e-03       1.032962e-02
         300       1.065503e+00       2.264277e-01       4.359715e-01       1.150162e-02       3.219219e-03       7.549310e-03
