#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       6.752233e-01       1.508442e-01       2.708731e-01       3.748144e-03       1.866998e-03       2.915242e-03
          10       6.973309e-01       1.568499e-01       2.795057e-01       1.233132e-02       3.927250e-03       6.527588e-03
          20       7.078738e-01       1.605481e-01       2.843601e-01       1.063852e-02       2.920729e-03       6.998054e-03
          30       6.980138e-01       1.558915e-01       2.803572e-01       5.519370e-03       2.779694e-03       3.521244e-03
          40       6.782676e-01       1.499820e-01       2.721607e-01       1.175695e-02       3.365500e-03       8.463948e-03
          50       6.483048e-01       1.464225e-01       2.602719e-01       3.486682e-03       2.575254e-03       2.850787e-03
          60       6.289035e-01       1.421775e-01       2.537197e-01       9.337807e-03       5.504396e-03       7.184509e-03
          70       6.202606e-01       1.386761e-01       2.494041e-01       1.125906e-02       5.402394e-03       8.285287e-03
          80       6.362996e-01       1.464727e-01       2.553150e-01       5.500569e-03       2.022417e-03       4.486542e-03
          90       6.760584e-01       1.467887e-01       2.726942e-01       1.668347e-02       5.961857e-03       1.119253e-02
         100       7.050934e-01       1.539760e-01       2.833590e-01       4.491027e-03       2.658848e-03       3.526869e-03
         110       7.281905e-01       1.631155e-01       2.921414e-01       2.815069e-02       8.898759e-03       1.747722e-02
         120       7.147252e-01       1.570383e-01       2.869727e-01       1.048199e-02       3.285166e-03       6.159044e-03
         130       6.880140e-01       1.477814e-01       2.771613e-01       1.135824e-02       4.785305e-03       8.049178e-03
         140       6.474522e-01       1.429050e-01       2.600563e-01       1.203635e-02       7.687382e-03       9.369853e-03
         150       6.160656e-01       1.383459e-01       2.472672e-01       6.568009e-03       4.212042e-03       5.387912e-03
         160       6.192678e-01       1.349914e-01       2.492381e-01       2.840701e-02       1.203125e-02       2.023765e-02
         170       6.420868e-01       1.422201e-01       2.579487e-01       5.478420e-03       1.926413e-03       3.303092e-03
         180       6.818398e-01       1.534449e-01       2.741436e-01       1.450535e-02       4.036146e-03       8.856256e-03
         190       7.090354e-01       1.574525e-01       2.847190e-01       1.420518e-02       5.455194e-03       8.990674e-03
         200       7.200807e-01       1.584604e-01       2.890802e-01       1.139797e-02       5.355518e-03       7.637652e-03
         210       7.112917e-01       1.586502e-01       2.859115e-01       1.930350e-02       7.643741e-03       1.207483e-02
         220       6.765748e-01       1.534388e-01       2.718301e-01       3.639597e-03       2.547874e-03       3.134781e-03
         230       6.478149e-01       1.452431e-01       2.605497e-01       1.894172e-02       8.308812e-03       1.137613e-02
         240       6.238679e-01       1.401797e-01       2.511334e-01       5.998181e-03       2.672710e-03       4.371302e-03
         250       6.237475e-01       1.356099e-01       2.515922e-01       1.206337e-02       5.038841e-03       8.956451e-03
         260       6.424574e-01       1.460370e-01       2.584076e-01       1.393459e-02       4.725005e-03       7.783330e-03
         270       6.697170e-01       1.500728e-01       2.690054e-01       5.133778e-03       1.630330e-03       3.221504e-03
         280       7.005988e-01       1.495158e-01       2.819797e-01       1.486350e-02       3.008867e-03       8.690015e-03
         290       7.075995e-01       1.566383e-01       2.841224e-01       4.921631e-03       2.223084e-03       3.678342e-03
         300       7.047479e-01       1.620364e-01       2.830005e-01       1.375118e-02       5.108217e-03       8.583225e-03
         310       6.830469e-01       1.500704e-01       2.745009e-01       1.173185e-02       3.968555e-03       5.924272e-03
         320       6.552923e-01       1.424793e-01       2.636069e-01       6.824015e-03       2.522741e-03       3.884160e-03
         330       6.334358e-01       1.433056e-01       2.545569e-01       1.473043e-02       4.556036e-03       8.873982e-03
         340       6.249515e-01       1.398071e-01       2.511071e-01       2.852777e-03       1.648653e-03       2.239926e-03
         350       6.391767e-01       1.388672e-01       2.571777e-01       1.417487e-02       5.547978e-03       8.213183e-03
         360       6.593960e-01       1.495675e-01       2.645541e-01       3.159172e-03       1.502935e-03       2.470308e-03
         370       6.843511e-01       1.565362e-01       2.744562e-01       5.925614e-03       2.320003e-03       4.519222e-03
         380       7.032268e-01       1.538825e-01       2.823237e-01       1.231673e-02       4.421930e-03       6.805298e-03
         390       7.039243e-01       1.553427e-01       2.823904e-01       5.679064e-03       1.026961e-03       3.770379e-03
         400       6.935472e-01       1.590571e-01       2.782188e-01       1.302602e-02       7.002898e-03       9.038011e-03
         410       6.669752e-01       1.495478e-01       2.675622e-01       3.580234e-03       2.372158e-03       3.023107e-03
         420       6.441005e-01       1.402734e-01       2.590053e-01       1.204714e-02       3.432704e-03       7.222630e-03
         430       6.243889e-01       1.414272e-01       2.506057e-01       1.035939e-02       2.266808e-03       6.185600e-03
         440       6.242375e-01       1.418879e-01       2.504488e-01       7.046532e-03       3.341087e-03       4.590904e-03
         450       6.502183e-01       1.424343e-01       2.612509e-01       1.512360e-02       5.705273e-03       9.519575e-03
         460       6.801442e-01       1.549381e-01       2.725879e-01       3.228395e-03       1.559530e-03       2.635755e-03
         470       7.143639e-01       1.641440e-01       2.866240e-01       2.190422e-02       1.073684e-02       1.584052e-02
         480       7.228209e-01       1.622245e-01       2.896476e-01       1.163767e-02       6.046387e-03       9.197471e-03
         490       7.145227e-01       1.583359e-01       2.866608e-01       1.531278e-02       6.060029e-03       9.585540e-03
         500       6.798897e-01       1.577429e-01       2.728191e-01       1.644255e-02       8.528276e-03       1.126098e-02
         510       6.368951e-01       1.492709e-01       2.553571e-01       3.901617e-03       2.255353e-03       2.772463e-03
         520       6.192553e-01       1.395637e-01       2.488404e-01       3.135491e-02       1.483035e-02       2.203463e-02
         530       6.203361e-01       1.383818e-01       2.497332e-01       3.284253e-03       2.083200e-03       2.615328e-03
         540       6.513600e-01       1.451530e-01       2.623979e-01       1.857631e-02       8.174720e-03       1.109474e-02
         550       6.888360e-01       1.480530e-01       2.766525e-01       1.479364e-02       5.014104e-03       8.423989e-03
         560       7.146826e-01       1.521149e-01       2.871827e-01       1.337287e-02       3.743957e-03       8.489167e-03
         570       7.227850e-01       1.576585e-01       2.912923e-01       2.217245e-02       8.216947e-03       1.496222e-02
