# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    6.21e+01  6.51e+01    8.29e+00  8.27e+00    1.96e+00  2.06e+00    1.0e-03
   1000    3.59e+00  3.12e+00    8.72e-02  8.73e-02    1.29e-01  1.12e-01    7.7e-04
   2000    3.15e+00  3.30e+00    5.07e-02  5.06e-02    1.29e-01  1.35e-01    6.0e-04
   3000    2.60e+00  2.38e+00    2.86e-02  2.89e-02    1.21e-01  1.10e-01    4.6e-04
   4000    2.25e+00  2.67e+00    5.91e-03  5.49e-03    1.19e-01  1.41e-01    3.6e-04
   5000    2.00e+00  1.82e+00    1.85e-03  1.92e-03    1.20e-01  1.09e-01    2.8e-04
   6000    1.74e+00  2.01e+00    5.31e-03  4.92e-03    1.18e-01  1.37e-01    2.1e-04
   7000    1.52e+00  1.94e+00    2.81e-02  2.77e-02    1.18e-01  1.50e-01    1.7e-04
   8000    1.19e+00  1.19e+00    1.75e-02  1.76e-02    1.05e-01  1.05e-01    1.3e-04
   9000    1.16e+00  1.21e+00    1.53e-03  1.40e-03    1.16e-01  1.20e-01    9.9e-05
  10000    1.03e+00  1.29e+00    1.93e-03  2.74e-03    1.17e-01  1.47e-01    7.7e-05
  11000    9.01e-01  1.18e+00    6.26e-03  5.93e-03    1.16e-01  1.52e-01    6.0e-05
  12000    7.93e-01  8.90e-01    1.41e-02  1.50e-02    1.15e-01  1.30e-01    4.6e-05
  13000    7.03e-01  6.31e-01    2.87e-03  2.59e-03    1.16e-01  1.04e-01    3.6e-05
  14000    5.37e-01  6.11e-01    1.15e-02  1.17e-02    1.00e-01  1.14e-01    2.8e-05
  15000    5.44e-01  8.18e-01    2.75e-03  3.61e-03    1.15e-01  1.73e-01    2.1e-05
  16000    4.86e-01  2.50e-01    1.95e-03  2.60e-03    1.16e-01  5.97e-02    1.7e-05
  17000    3.78e-01  3.76e-01    1.87e-03  2.06e-03    1.02e-01  1.01e-01    1.3e-05
  18000    3.81e-01  4.48e-01    3.46e-03  3.14e-03    1.16e-01  1.36e-01    9.9e-06
  19000    3.41e-01  3.91e-01    1.67e-03  1.06e-03    1.16e-01  1.33e-01    7.7e-06
  20000    3.05e-01  3.42e-01    1.98e-03  2.89e-03    1.16e-01  1.30e-01    5.9e-06
  21000    2.74e-01  3.49e-01    2.12e-03  1.53e-03    1.16e-01  1.48e-01    4.6e-06
  22000    2.07e-01  2.07e-01    1.13e-03  1.35e-03    9.73e-02  9.70e-02    3.5e-06
  23000    2.24e-01  2.06e-01    5.02e-04  1.20e-03    1.16e-01  1.06e-01    2.7e-06
  24000    2.04e-01  2.36e-01    5.42e-04  1.15e-03    1.16e-01  1.33e-01    2.1e-06
  25000    1.88e-01  2.48e-01    1.13e-03  8.93e-04    1.15e-01  1.53e-01    1.6e-06
  26000    1.74e-01  2.05e-01    1.50e-03  1.23e-03    1.16e-01  1.36e-01    1.3e-06
  27000    1.63e-01  1.88e-01    3.59e-04  5.48e-04    1.16e-01  1.33e-01    9.8e-07
  28000    1.54e-01  1.65e-01    1.79e-03  1.00e-03    1.16e-01  1.24e-01    7.6e-07
  29000    1.22e-01  1.22e-01    1.20e-03  1.37e-03    9.68e-02  9.66e-02    5.9e-07
  30000    1.40e-01  1.25e-01    1.30e-03  1.17e-03    1.16e-01  1.04e-01    4.6e-07
  31000    1.35e-01  1.25e-01    5.82e-04  3.22e-04    1.16e-01  1.08e-01    3.5e-07
  32000    1.31e-01  1.41e-01    8.53e-04  8.81e-04    1.16e-01  1.25e-01    2.7e-07
  33000    1.27e-01  1.64e-01    2.10e-04  7.67e-04    1.16e-01  1.49e-01    2.1e-07
  34000    1.25e-01  1.15e-01    2.21e-04  9.11e-04    1.16e-01  1.06e-01    1.6e-07
  35000    1.23e-01  1.63e-01    7.50e-04  6.83e-04    1.16e-01  1.53e-01    1.3e-07
  36000    1.21e-01  1.42e-01    7.59e-04  6.26e-04    1.16e-01  1.36e-01    9.8e-08
  37000    1.20e-01  1.08e-01    6.53e-04  7.76e-04    1.16e-01  1.04e-01    7.6e-08
  38000    1.19e-01  1.29e-01    4.87e-04  6.44e-04    1.16e-01  1.25e-01    5.9e-08
  39000    1.18e-01  1.21e-01    5.63e-04  6.18e-04    1.16e-01  1.18e-01    4.5e-08
  40000    1.18e-01  1.56e-01    3.98e-04  6.48e-04    1.16e-01  1.53e-01    3.5e-08
