#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       6.955808e-01       1.546966e-01       2.788939e-01       5.808167e-03       2.485414e-03       4.574518e-03
          10       7.104059e-01       1.519724e-01       2.854651e-01       1.227203e-02       4.990293e-03       6.813711e-03
          20       7.066410e-01       1.525155e-01       2.837178e-01       4.751452e-03       3.143312e-03       3.714759e-03
          30       6.864789e-01       1.531162e-01       2.754147e-01       7.976693e-03       3.856851e-03       5.097874e-03
          40       6.556466e-01       1.455213e-01       2.631170e-01       5.077218e-03       3.168673e-03       3.819338e-03
          50       6.338550e-01       1.402084e-01       2.545114e-01       4.722904e-03       2.561968e-03       3.638858e-03
          60       6.248958e-01       1.442290e-01       2.508568e-01       7.232163e-03       3.260185e-03       4.874586e-03
          70       6.332958e-01       1.504684e-01       2.540379e-01       2.498874e-03       1.693938e-03       2.192270e-03
          80       6.598081e-01       1.615891e-01       2.640654e-01       9.065197e-03       4.121298e-03       5.950670e-03
          90       6.904611e-01       1.588467e-01       2.766153e-01       5.059490e-03       2.404705e-03       3.490252e-03
         100       7.127855e-01       1.612320e-01       2.860674e-01       9.947974e-03       5.403098e-03       7.952960e-03
         110       7.151265e-01       1.668877e-01       2.865866e-01       9.382073e-03       3.596151e-03       6.251973e-03
         120       6.987086e-01       1.588867e-01       2.800457e-01       1.104094e-02       5.907148e-03       8.074811e-03
         130       6.682591e-01       1.460923e-01       2.686838e-01       9.429434e-03       2.802876e-03       4.713610e-03
         140       6.331901e-01       1.397579e-01       2.548739e-01       6.960342e-03       4.530602e-03       5.854823e-03
         150       6.137872e-01       1.310647e-01       2.477847e-01       8.980948e-03       3.767639e-03       6.471031e-03
         160       6.236827e-01       1.303157e-01       2.527292e-01       1.742134e-02       7.442373e-03       1.131608e-02
         170       6.524389e-01       1.398052e-01       2.637246e-01       4.074295e-03       2.772195e-03       3.445837e-03
         180       6.864571e-01       1.448248e-01       2.771853e-01       1.286789e-02       5.093363e-03       8.208209e-03
         190       7.064239e-01       1.481975e-01       2.845604e-01       1.337024e-02       5.272288e-03       7.382654e-03
         200       7.101515e-01       1.512117e-01       2.861720e-01       1.106901e-02       5.360293e-03       7.503528e-03
         210       6.953278e-01       1.484850e-01       2.807035e-01       1.226857e-02       2.470134e-03       6.252509e-03
         220       6.664639e-01       1.431448e-01       2.684255e-01       5.825512e-03       1.938958e-03       3.470869e-03
         230       6.415530e-01       1.408267e-01       2.580411e-01       6.917758e-03       2.969932e-03       4.784573e-03
         240       6.275923e-01       1.371146e-01       2.533430e-01       3.892502e-03       2.242268e-03       2.871909e-03
         250       6.299632e-01       1.375200e-01       2.540870e-01       8.790629e-03       3.551272e-03       5.408222e-03
         260       6.449145e-01       1.465275e-01       2.587949e-01       4.855888e-03       1.555275e-03       2.745839e-03
         270       6.690028e-01       1.521492e-01       2.688063e-01       6.581713e-03       2.642668e-03       4.549762e-03
         280       6.934695e-01       1.529216e-01       2.790583e-01       7.388477e-03       2.215782e-03       4.040979e-03
         290       7.031725e-01       1.597756e-01       2.820513e-01       8.332310e-03       1.842110e-03       4.286294e-03
         300       6.995034e-01       1.602510e-01       2.805058e-01       9.285552e-03       3.546273e-03       5.195734e-03
         310       6.827407e-01       1.522572e-01       2.746971e-01       7.628127e-03       3.464110e-03       5.186114e-03
         320       6.574798e-01       1.456141e-01       2.643396e-01       6.423704e-03       1.900205e-03       3.658983e-03
         330       6.323467e-01       1.477582e-01       2.534669e-01       8.500530e-03       4.342991e-03       5.995814e-03
         340       6.208745e-01       1.417954e-01       2.495665e-01       4.188430e-03       2.282040e-03       3.156700e-03
         350       6.335202e-01       1.459724e-01       2.544617e-01       1.156578e-02       4.227251e-03       6.004802e-03
