#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.018172e+00       2.208467e-01       4.177176e-01       1.180993e-02       6.019924e-03       8.808685e-03
          10       1.042528e+00       2.256592e-01       4.242716e-01       2.377767e-02       1.253671e-02       1.799384e-02
          20       1.066160e+00       2.388428e-01       4.379432e-01       4.074365e-02       1.532314e-02       2.364738e-02
          30       1.096296e+00       2.400913e-01       4.444447e-01       1.459739e-02       6.361581e-03       9.250713e-03
          40       1.092276e+00       2.480140e-01       4.400220e-01       1.543231e-02       8.445583e-03       1.112455e-02
          50       1.052938e+00       2.463214e-01       4.249210e-01       4.961342e-02       1.759227e-02       2.893714e-02
          60       1.029512e+00       2.440284e-01       4.128301e-01       9.820914e-03       3.689441e-03       6.259835e-03
          70       1.003842e+00       2.352183e-01       4.039957e-01       3.254441e-02       8.202947e-03       1.422646e-02
          80       9.860736e-01       2.230590e-01       3.974462e-01       5.896532e-02       1.923349e-02       3.702499e-02
          90       1.025431e+00       2.212569e-01       4.168962e-01       9.552622e-03       5.058247e-03       6.249347e-03
         100       1.067413e+00       2.277345e-01       4.410664e-01       4.372221e-02       1.327858e-02       2.069672e-02
         110       1.087511e+00       2.247230e-01       4.472186e-01       1.122174e-01       4.305512e-02       6.319338e-02
         120       1.122743e+00       2.315939e-01       4.720474e-01       5.671456e-02       1.829294e-02       3.126949e-02
         130       1.076435e+00       2.395287e-01       4.537666e-01       5.308623e-02       1.471728e-02       2.642767e-02
         140       9.934789e-01       2.245415e-01       4.150792e-01       1.049469e-01       3.614769e-02       6.539299e-02
         150       9.857772e-01       2.226767e-01       4.075208e-01       3.151746e-02       1.331665e-02       1.764081e-02
         160       9.889489e-01       2.212943e-01       4.025564e-01       1.856367e-02       1.194632e-02       1.475802e-02
         170       1.009870e+00       2.414412e-01       4.168526e-01       8.855719e-02       1.607547e-02       4.497803e-02
         180       1.081138e+00       2.314660e-01       4.344601e-01       2.124117e-02       9.187473e-03       1.519636e-02
         190       1.114765e+00       2.287432e-01       4.518713e-01       1.669212e-02       1.146212e-02       1.418492e-02
         200       1.095439e+00       2.454335e-01       4.547767e-01       7.487020e-02       2.157789e-02       3.549189e-02
         210       1.074270e+00       2.197121e-01       4.354364e-01       1.766572e-02       1.357663e-02       1.540648e-02
         220       1.042442e+00       2.209553e-01       4.263055e-01       7.875941e-03       4.625638e-03       6.544752e-03
         230       1.004316e+00       2.441871e-01       4.212905e-01       7.522673e-02       1.588767e-02       3.554736e-02
         240       1.008580e+00       2.126249e-01       4.099200e-01       1.931226e-02       1.115265e-02       1.469705e-02
         250       1.033782e+00       2.239281e-01       4.195395e-01       1.522972e-02       4.746359e-03       9.519534e-03
         260       1.052127e+00       2.388566e-01       4.330729e-01       5.050522e-02       1.495077e-02       2.602311e-02
         270       1.093025e+00       2.477550e-01       4.407391e-01       1.683087e-02       5.700993e-03       1.223286e-02
         280       1.112042e+00       2.489851e-01       4.477959e-01       8.895695e-03       3.350173e-03       5.840383e-03
         290       1.078014e+00       2.455020e-01       4.356020e-01       4.055703e-02       1.686429e-02       2.551911e-02
         300       1.051694e+00       2.323135e-01       4.254737e-01       2.353813e-02       6.148443e-03       1.123202e-02
