#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.012511e+00       2.449228e-01       4.053282e-01       9.042103e-03       2.887909e-03       5.171231e-03
          10       1.005637e+00       2.465141e-01       4.026780e-01       9.718139e-03       7.125517e-03       8.611217e-03
          20       1.021887e+00       2.449305e-01       4.099317e-01       8.601456e-03       3.280945e-03       5.019493e-03
          30       1.049235e+00       2.497190e-01       4.205658e-01       1.096424e-02       5.461032e-03       9.384677e-03
          40       1.081810e+00       2.529953e-01       4.346121e-01       5.953842e-03       3.274369e-03       4.493382e-03
          50       1.104260e+00       2.475504e-01       4.459901e-01       1.277956e-02       1.098364e-02       1.205641e-02
          60       1.103766e+00       2.417953e-01       4.459657e-01       8.825819e-03       5.770427e-03       7.852361e-03
          70       1.076270e+00       2.335265e-01       4.370582e-01       1.206120e-02       8.915395e-03       1.113560e-02
          80       1.040193e+00       2.253227e-01       4.253567e-01       1.646316e-02       8.121026e-03       1.184844e-02
          90       1.007247e+00       2.185309e-01       4.143228e-01       1.961164e-02       9.117287e-03       1.404569e-02
         100       9.930462e-01       2.212889e-01       4.129457e-01       2.297226e-02       1.331640e-02       1.788356e-02
         110       1.011946e+00       2.212442e-01       4.191929e-01       2.490462e-02       9.138733e-03       1.296733e-02
         120       1.046207e+00       2.183193e-01       4.304979e-01       2.031915e-02       1.609514e-02       1.788020e-02
         130       1.089629e+00       2.264437e-01       4.481633e-01       1.317307e-02       8.685015e-03       1.104405e-02
         140       1.106063e+00       2.337935e-01       4.512505e-01       1.935208e-02       8.434208e-03       1.263362e-02
         150       1.081756e+00       2.347432e-01       4.350891e-01       2.506228e-02       1.053706e-02       1.430223e-02
         160       1.050553e+00       2.379469e-01       4.215787e-01       1.526380e-02       4.710405e-03       8.319055e-03
         170       1.023592e+00       2.375725e-01       4.123077e-01       1.545197e-02       5.552123e-03       8.393220e-03
         180       1.010805e+00       2.301540e-01       4.067094e-01       1.892346e-02       5.117256e-03       1.233812e-02
         190       1.020539e+00       2.297352e-01       4.110466e-01       9.883796e-03       5.261510e-03       6.790080e-03
         200       1.044062e+00       2.316678e-01       4.210580e-01       1.557040e-02       4.807178e-03       8.461779e-03
         210       1.070988e+00       2.327907e-01       4.315574e-01       9.416958e-03       4.096403e-03       5.848219e-03
         220       1.095605e+00       2.343701e-01       4.424640e-01       1.305268e-02       1.027342e-02       1.134073e-02
         230       1.103698e+00       2.339721e-01       4.465753e-01       5.270802e-03       1.585717e-03       3.474151e-03
         240       1.089911e+00       2.277917e-01       4.409855e-01       1.511799e-02       6.981918e-03       9.964097e-03
         250       1.065557e+00       2.252558e-01       4.339030e-01       1.058809e-02       6.116161e-03       7.970494e-03
         260       1.036962e+00       2.249515e-01       4.251794e-01       2.373558e-02       8.269716e-03       1.466607e-02
         270       1.020294e+00       2.190228e-01       4.179277e-01       1.993812e-02       6.579481e-03       1.076251e-02
         280       1.023188e+00       2.226767e-01       4.210316e-01       1.679173e-02       5.152479e-03       1.001039e-02
         290       1.041303e+00       2.275210e-01       4.304609e-01       3.436185e-02       1.063132e-02       2.009323e-02
         300       1.074575e+00       2.231457e-01       4.406534e-01       1.093010e-02       5.421377e-03       8.527831e-03
