#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       6.987247e-01       1.515717e-01       2.805296e-01       9.990334e-03       2.872129e-03       5.854845e-03
          10       6.927562e-01       1.519064e-01       2.785570e-01       6.572721e-03       3.277370e-03       4.929910e-03
          20       6.761504e-01       1.439228e-01       2.725594e-01       5.303565e-03       2.756422e-03       4.105142e-03
          30       6.543774e-01       1.427128e-01       2.629737e-01       3.760794e-03       3.284163e-03       3.510954e-03
          40       6.380613e-01       1.421769e-01       2.564429e-01       5.990533e-03       2.107869e-03       4.009079e-03
          50       6.351981e-01       1.382687e-01       2.558706e-01       8.045880e-03       3.909839e-03       5.491947e-03
          60       6.446289e-01       1.450311e-01       2.587445e-01       3.075484e-03       2.276453e-03       2.623227e-03
          70       6.615120e-01       1.525208e-01       2.652634e-01       3.807457e-03       2.163097e-03       2.925888e-03
          80       6.790538e-01       1.547940e-01       2.724975e-01       3.598104e-03       2.346098e-03       2.986714e-03
          90       6.910677e-01       1.573466e-01       2.770500e-01       5.624527e-03       2.164376e-03       3.971171e-03
         100       6.904525e-01       1.617273e-01       2.765673e-01       3.629366e-03       1.285926e-03       2.685100e-03
         110       6.818285e-01       1.588346e-01       2.733255e-01       3.546737e-03       1.535714e-03       2.645030e-03
         120       6.677487e-01       1.533371e-01       2.676900e-01       3.814042e-03       1.441114e-03       2.703905e-03
         130       6.534665e-01       1.539080e-01       2.618216e-01       3.470514e-03       2.388404e-03       2.803063e-03
         140       6.438450e-01       1.510049e-01       2.579817e-01       2.875810e-03       2.066171e-03       2.453165e-03
         150       6.426663e-01       1.509225e-01       2.575332e-01       3.155465e-03       2.312490e-03       2.708990e-03
         160       6.504922e-01       1.541119e-01       2.606027e-01       3.018194e-03       2.275583e-03       2.716815e-03
         170       6.630289e-01       1.548097e-01       2.655921e-01       3.934561e-03       2.233394e-03       2.986605e-03
         180       6.770953e-01       1.608708e-01       2.711673e-01       3.608534e-03       2.389173e-03       2.989419e-03
         190       6.887013e-01       1.629561e-01       2.758144e-01       3.760066e-03       1.915300e-03       2.680810e-03
         200       6.925197e-01       1.593416e-01       2.775193e-01       4.128935e-03       2.484988e-03       3.187282e-03
         210       6.854672e-01       1.574608e-01       2.747465e-01       5.544990e-03       2.425684e-03       3.765537e-03
         220       6.682870e-01       1.568813e-01       2.676627e-01       6.645462e-03       2.136931e-03       3.760769e-03
         230       6.485476e-01       1.500496e-01       2.600734e-01       4.287776e-03       2.192909e-03       3.152744e-03
         240       6.363932e-01       1.430435e-01       2.554343e-01       4.435684e-03       3.127546e-03       3.726608e-03
         250       6.357750e-01       1.503997e-01       2.545330e-01       3.173218e-03       1.902413e-03       2.582969e-03
         260       6.511045e-01       1.512896e-01       2.610010e-01       6.643915e-03       1.552873e-03       3.574242e-03
         270       6.729667e-01       1.505241e-01       2.698919e-01       4.334062e-03       2.343936e-03       3.163322e-03
         280       6.917161e-01       1.593324e-01       2.770765e-01       5.332405e-03       2.645782e-03       3.759048e-03
         290       7.001072e-01       1.613459e-01       2.805565e-01       7.290414e-03       2.960518e-03       5.629212e-03
         300       6.950715e-01       1.560054e-01       2.786453e-01       6.320356e-03       3.047974e-03       4.781541e-03
         310       6.796483e-01       1.566093e-01       2.722847e-01       4.201313e-03       3.349522e-03       3.786394e-03
         320       6.586584e-01       1.533157e-01       2.640708e-01       4.759971e-03       1.695863e-03       3.298769e-03
         330       6.417945e-01       1.457694e-01       2.574433e-01       4.950707e-03       2.778912e-03       3.502414e-03
         340       6.369078e-01       1.473986e-01       2.552618e-01       5.956122e-03       2.558926e-03       3.511327e-03
         350       6.431706e-01       1.482967e-01       2.580998e-01       4.098533e-03       2.137919e-03       2.891309e-03
