# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.98e+01  9.34e+01    7.12e+00  7.10e+00    2.84e+00  2.95e+00    1.0e-03
   1000    3.89e+00  4.12e+00    4.36e-02  4.38e-02    1.40e-01  1.48e-01    7.7e-04
   2000    3.23e+00  3.48e+00    1.83e-02  1.84e-02    1.32e-01  1.42e-01    6.0e-04
   3000    2.79e+00  3.01e+00    1.54e-02  1.54e-02    1.29e-01  1.40e-01    4.6e-04
   4000    2.40e+00  2.60e+00    1.36e-02  1.36e-02    1.27e-01  1.37e-01    3.6e-04
   5000    2.04e+00  2.21e+00    2.32e-03  2.24e-03    1.22e-01  1.33e-01    2.8e-04
   6000    1.73e+00  1.90e+00    7.34e-03  7.48e-03    1.18e-01  1.29e-01    2.1e-04
   7000    1.50e+00  1.64e+00    9.36e-03  9.53e-03    1.16e-01  1.27e-01    1.7e-04
   8000    1.30e+00  1.43e+00    9.80e-03  1.00e-02    1.14e-01  1.26e-01    1.3e-04
   9000    1.14e+00  1.25e+00    8.22e-03  8.42e-03    1.13e-01  1.25e-01    9.9e-05
  10000    9.97e-01  1.10e+00    7.63e-03  7.85e-03    1.13e-01  1.24e-01    7.7e-05
  11000    8.78e-01  9.67e-01    1.33e-03  1.20e-03    1.13e-01  1.24e-01    6.0e-05
  12000    7.71e-01  8.49e-01    8.17e-04  1.05e-03    1.12e-01  1.24e-01    4.6e-05
  13000    6.80e-01  7.48e-01    1.19e-03  1.43e-03    1.12e-01  1.24e-01    3.6e-05
  14000    6.00e-01  6.60e-01    9.76e-04  8.45e-04    1.12e-01  1.24e-01    2.8e-05
  15000    5.31e-01  5.84e-01    2.64e-04  4.48e-04    1.12e-01  1.24e-01    2.1e-05
  16000    4.70e-01  5.17e-01    3.14e-03  2.97e-03    1.12e-01  1.24e-01    1.7e-05
  17000    4.17e-01  4.58e-01    2.86e-03  2.69e-03    1.12e-01  1.24e-01    1.3e-05
  18000    3.70e-01  4.07e-01    2.62e-04  5.14e-04    1.12e-01  1.23e-01    9.9e-06
  19000    3.30e-01  3.63e-01    2.95e-04  5.62e-04    1.12e-01  1.23e-01    7.7e-06
  20000    2.95e-01  3.24e-01    3.12e-04  5.83e-04    1.12e-01  1.23e-01    5.9e-06
  21000    2.65e-01  2.91e-01    4.61e-04  7.36e-04    1.12e-01  1.23e-01    4.6e-06
  22000    2.39e-01  2.63e-01    1.04e-03  1.30e-03    1.12e-01  1.23e-01    3.5e-06
  23000    2.17e-01  2.39e-01    6.62e-04  9.28e-04    1.12e-01  1.23e-01    2.7e-06
  24000    1.98e-01  2.18e-01    4.09e-04  6.83e-04    1.12e-01  1.23e-01    2.1e-06
  25000    1.82e-01  2.00e-01    3.20e-04  5.92e-04    1.12e-01  1.23e-01    1.6e-06
  26000    1.69e-01  1.86e-01    2.81e-04  5.47e-04    1.12e-01  1.23e-01    1.3e-06
  27000    1.58e-01  1.74e-01    2.44e-04  4.88e-04    1.12e-01  1.23e-01    9.8e-07
  28000    1.49e-01  1.64e-01    8.75e-04  7.56e-04    1.12e-01  1.23e-01    7.6e-07
  29000    1.41e-01  1.55e-01    7.36e-04  6.38e-04    1.12e-01  1.23e-01    5.9e-07
  30000    1.35e-01  1.49e-01    6.34e-04  5.59e-04    1.12e-01  1.23e-01    4.6e-07
  31000    1.31e-01  1.43e-01    5.52e-04  5.03e-04    1.12e-01  1.23e-01    3.5e-07
  32000    1.27e-01  1.39e-01    4.79e-04  4.60e-04    1.12e-01  1.23e-01    2.7e-07
  33000    1.24e-01  1.36e-01    4.13e-04  4.31e-04    1.12e-01  1.23e-01    2.1e-07
  34000    1.21e-01  1.33e-01    4.03e-04  4.28e-04    1.12e-01  1.23e-01    1.6e-07
  35000    1.19e-01  1.31e-01    6.25e-04  5.52e-04    1.12e-01  1.23e-01    1.3e-07
  36000    1.18e-01  1.29e-01    7.30e-04  6.34e-04    1.12e-01  1.23e-01    9.8e-08
  37000    1.16e-01  1.28e-01    7.38e-04  6.40e-04    1.12e-01  1.23e-01    7.6e-08
  38000    1.15e-01  1.27e-01    7.26e-04  6.30e-04    1.12e-01  1.23e-01    5.9e-08
  39000    1.15e-01  1.26e-01    7.10e-04  6.17e-04    1.12e-01  1.23e-01    4.5e-08
  40000    1.14e-01  1.25e-01    6.95e-04  6.05e-04    1.12e-01  1.23e-01    3.5e-08
