#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       6.775201e-01       1.551627e-01       2.713978e-01       3.342283e-03       2.641077e-03       2.915947e-03
          10       6.815344e-01       1.627512e-01       2.728839e-01       3.969817e-03       1.802951e-03       3.174523e-03
          20       6.826130e-01       1.601207e-01       2.736341e-01       3.759870e-03       2.128153e-03       3.043435e-03
          30       6.786815e-01       1.636892e-01       2.716192e-01       3.100680e-03       1.796644e-03       2.375914e-03
          40       6.698443e-01       1.563770e-01       2.684414e-01       4.066777e-03       2.446613e-03       3.151002e-03
          50       6.569969e-01       1.508848e-01       2.636276e-01       3.519156e-03       2.059257e-03       2.860852e-03
          60       6.529900e-01       1.471071e-01       2.620515e-01       5.472399e-03       1.980382e-03       3.726405e-03
          70       6.564684e-01       1.376397e-01       2.654222e-01       7.453340e-03       1.836217e-03       4.348467e-03
          80       6.617804e-01       1.345095e-01       2.694444e-01       6.272755e-03       4.396501e-03       5.308507e-03
          90       6.698641e-01       1.336836e-01       2.729075e-01       1.172155e-02       6.322443e-03       8.471884e-03
         100       6.757191e-01       1.325692e-01       2.768574e-01       1.051683e-02       3.816390e-03       7.170920e-03
         110       6.791155e-01       1.320215e-01       2.807335e-01       2.484297e-02       5.654330e-03       1.266215e-02
         120       6.677979e-01       1.308022e-01       2.758958e-01       1.044511e-02       5.470861e-03       8.012486e-03
         130       6.515214e-01       1.296807e-01       2.673089e-01       1.066187e-02       5.658534e-03       7.999685e-03
         140       6.473073e-01       1.314404e-01       2.632961e-01       1.568519e-02       6.220510e-03       8.983652e-03
         150       6.516562e-01       1.403178e-01       2.634646e-01       9.002297e-03       5.098444e-03       6.640888e-03
         160       6.646030e-01       1.476353e-01       2.672346e-01       8.237087e-03       2.875970e-03       4.872573e-03
         170       6.771755e-01       1.589336e-01       2.710578e-01       9.464240e-03       3.982650e-03       5.580678e-03
