#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       7.081142e-01       1.689279e-01       2.834523e-01       6.536319e-03       3.045149e-03       5.373694e-03
          10       6.976703e-01       1.633144e-01       2.794328e-01       3.469402e-03       1.979326e-03       2.613871e-03
          20       6.761376e-01       1.507180e-01       2.714100e-01       4.098216e-03       2.276065e-03       3.275001e-03
          30       6.476331e-01       1.503009e-01       2.597587e-01       6.813477e-03       2.749932e-03       4.185203e-03
          40       6.291194e-01       1.446584e-01       2.527422e-01       4.966477e-03       2.451356e-03       3.147099e-03
          50       6.282498e-01       1.358968e-01       2.540545e-01       1.094089e-02       3.791202e-03       6.259547e-03
          60       6.399982e-01       1.410250e-01       2.586463e-01       5.866666e-03       2.400256e-03       3.906214e-03
          70       6.648613e-01       1.473497e-01       2.687214e-01       1.182811e-02       3.990051e-03       7.130960e-03
          80       6.891620e-01       1.429154e-01       2.805462e-01       1.398942e-02       5.854110e-03       7.853568e-03
          90       6.985308e-01       1.443379e-01       2.848311e-01       2.266369e-02       4.104277e-03       1.100654e-02
         100       6.860235e-01       1.492831e-01       2.780801e-01       1.364950e-02       5.588152e-03       9.126815e-03
         110       6.578464e-01       1.400511e-01       2.673055e-01       5.485690e-03       3.854271e-03       4.914558e-03
         120       6.327593e-01       1.339734e-01       2.582611e-01       8.071715e-03       4.337139e-03       6.435527e-03
         130       6.133909e-01       1.419313e-01       2.467948e-01       8.872504e-03       7.096959e-03       7.961970e-03
         140       6.201634e-01       1.502632e-01       2.483965e-01       6.092776e-03       3.486451e-03       5.232851e-03
         150       6.593601e-01       1.573276e-01       2.641467e-01       7.078614e-03       2.951130e-03       4.577413e-03
         160       7.005984e-01       1.645048e-01       2.806141e-01       4.754027e-03       1.649851e-03       3.099137e-03
         170       7.234617e-01       1.626760e-01       2.903859e-01       1.214863e-02       2.859730e-03       7.478991e-03
         180       7.196850e-01       1.637872e-01       2.885361e-01       1.118332e-02       2.069179e-03       6.704575e-03
         190       6.990022e-01       1.532242e-01       2.806431e-01       5.591376e-03       2.992927e-03       4.177930e-03
         200       6.681701e-01       1.357392e-01       2.706237e-01       1.176661e-02       4.052437e-03       7.098878e-03
         210       6.377534e-01       1.285769e-01       2.596253e-01       6.865728e-03       3.130072e-03       4.180591e-03
         220       6.279807e-01       1.265020e-01       2.562690e-01       1.635173e-02       4.473460e-03       9.723815e-03
         230       6.372960e-01       1.280954e-01       2.612515e-01       7.403722e-03       3.070192e-03       4.743089e-03
         240       6.583053e-01       1.312181e-01       2.679653e-01       8.743275e-03       4.267143e-03       5.676134e-03
         250       6.827983e-01       1.362064e-01       2.763149e-01       6.510761e-03       3.354217e-03       5.456753e-03
         260       7.001523e-01       1.385159e-01       2.836449e-01       1.041189e-02       2.850681e-03       5.438267e-03
         270       7.054453e-01       1.393314e-01       2.858894e-01       1.324429e-02       3.332943e-03       6.653749e-03
         280       6.914217e-01       1.386092e-01       2.795003e-01       6.062373e-03       2.395003e-03       4.827904e-03
         290       6.681184e-01       1.344396e-01       2.704860e-01       4.985034e-03       2.350526e-03       3.545739e-03
         300       6.448815e-01       1.307408e-01       2.617363e-01       1.179560e-02       3.426763e-03       5.888726e-03
         310       6.290032e-01       1.310678e-01       2.542590e-01       3.806910e-03       1.790512e-03       2.654279e-03
         320       6.335359e-01       1.369987e-01       2.548611e-01       6.793103e-03       2.515505e-03       4.551667e-03
         330       6.552261e-01       1.543952e-01       2.625654e-01       3.166849e-03       2.367842e-03       2.765086e-03
         340       6.849598e-01       1.561337e-01       2.744542e-01       6.671003e-03       2.693514e-03       4.324508e-03
         350       7.088666e-01       1.637149e-01       2.842943e-01       9.166141e-03       3.258961e-03       5.530134e-03
         360       7.152784e-01       1.602127e-01       2.872252e-01       7.961741e-03       3.219534e-03       5.240554e-03
         370       7.018801e-01       1.503066e-01       2.831697e-01       8.259832e-03       4.012728e-03       5.907095e-03
         380       6.639731e-01       1.457713e-01       2.682066e-01       6.492952e-03       3.385978e-03       5.046254e-03
         390       6.283064e-01       1.394348e-01       2.541045e-01       1.167375e-02       7.403198e-03       9.665332e-03
         400       6.097622e-01       1.300612e-01       2.505208e-01       1.167095e-02       6.881106e-03       9.491688e-03
         410       6.145114e-01       1.299513e-01       2.530174e-01       1.329146e-02       4.813691e-03       8.204703e-03
         420       6.438582e-01       1.346090e-01       2.624180e-01       1.477899e-02       7.065865e-03       1.065318e-02
         430       6.813694e-01       1.407870e-01       2.783648e-01       1.524493e-02       3.675133e-03       8.476741e-03
         440       7.058521e-01       1.479397e-01       2.874035e-01       2.309419e-02       4.739727e-03       1.135915e-02
         450       7.011353e-01       1.507738e-01       2.827820e-01       1.302605e-02       3.706375e-03       7.449428e-03
         460       6.797485e-01       1.490938e-01       2.733865e-01       4.234756e-03       1.009005e-03       3.121375e-03
         470       6.578400e-01       1.497695e-01       2.642231e-01       7.045717e-03       3.270758e-03       4.759291e-03
         480       6.399941e-01       1.524272e-01       2.562077e-01       2.732210e-03       1.082069e-03       2.171089e-03
         490       6.349494e-01       1.456123e-01       2.547101e-01       8.282521e-03       2.508257e-03       4.419849e-03
         500       6.455499e-01       1.485127e-01       2.587301e-01       3.931185e-03       1.710261e-03       2.334968e-03
         510       6.671285e-01       1.483100e-01       2.675717e-01       4.083404e-03       2.379540e-03       3.116385e-03
         520       6.877152e-01       1.458975e-01       2.767552e-01       4.027839e-03       1.859995e-03       3.225151e-03
         530       6.969098e-01       1.497926e-01       2.799291e-01       4.376598e-03       1.972216e-03       3.306871e-03
         540       6.985804e-01       1.516756e-01       2.803134e-01       7.945889e-03       2.357480e-03       4.438686e-03
         550       6.869245e-01       1.413500e-01       2.771374e-01       6.756500e-03       3.595236e-03       4.792416e-03
         560       6.642065e-01       1.332240e-01       2.695813e-01       6.185614e-03       3.128777e-03       4.272141e-03
         570       6.431608e-01       1.286735e-01       2.613310e-01       1.478690e-02       4.671508e-03       8.794905e-03
         580       6.344294e-01       1.276605e-01       2.605624e-01       1.067914e-02       2.985063e-03       4.948953e-03
         590       6.433438e-01       1.291210e-01       2.656215e-01       1.340174e-02       7.016053e-03       8.894648e-03
         600       6.621354e-01       1.301214e-01       2.699926e-01       1.148011e-02       3.378503e-03       6.010815e-03
         610       6.893260e-01       1.342755e-01       2.803124e-01       7.848851e-03       3.537410e-03       6.089921e-03
         620       7.127347e-01       1.386962e-01       2.897418e-01       2.039266e-02       3.812741e-03       9.543086e-03
         630       7.134210e-01       1.431604e-01       2.881997e-01       7.345174e-03       4.117590e-03       6.080681e-03
         640       6.944776e-01       1.401460e-01       2.801132e-01       1.049160e-02       5.406641e-03       7.951025e-03
         650       6.662583e-01       1.369529e-01       2.691691e-01       9.927925e-03       3.248024e-03       5.448967e-03
         660       6.409047e-01       1.419238e-01       2.576933e-01       1.217885e-02       4.345076e-03       6.357109e-03
         670       6.268134e-01       1.529957e-01       2.508994e-01       5.569605e-03       2.984242e-03       4.247936e-03
         680       6.360076e-01       1.509489e-01       2.547896e-01       4.358222e-03       3.164949e-03       3.796576e-03
         690       6.626621e-01       1.456420e-01       2.671255e-01       9.183232e-03       2.704598e-03       5.240803e-03
         700       6.838752e-01       1.486418e-01       2.768283e-01       1.231077e-02       3.487818e-03       6.815114e-03
         710       6.919588e-01       1.514109e-01       2.802778e-01       6.192429e-03       3.373487e-03       4.789474e-03
         720       6.864054e-01       1.466296e-01       2.784050e-01       1.038270e-02       3.565897e-03       6.771991e-03
         730       6.684225e-01       1.452989e-01       2.711959e-01       5.277339e-03       3.943498e-03       4.720800e-03
         740       6.484267e-01       1.413633e-01       2.627410e-01       1.346279e-02       4.736274e-03       7.057275e-03
         750       6.353707e-01       1.403068e-01       2.576206e-01       7.390320e-03       1.921464e-03       4.416968e-03
         760       6.346581e-01       1.402185e-01       2.571614e-01       8.607353e-03       3.589636e-03       5.223507e-03
         770       6.438965e-01       1.418500e-01       2.600537e-01       8.883468e-03       2.248710e-03       4.712323e-03
         780       6.596348e-01       1.482009e-01       2.661698e-01       5.192346e-03       2.722715e-03       4.204958e-03
         790       6.781846e-01       1.513150e-01       2.738429e-01       4.820587e-03       3.001803e-03       3.745142e-03
         800       6.878499e-01       1.517093e-01       2.771240e-01       6.109017e-03       2.711403e-03       4.522379e-03
         810       6.873942e-01       1.544003e-01       2.765510e-01       6.926746e-03       2.764799e-03       4.419433e-03
         820       6.771858e-01       1.538308e-01       2.727136e-01       4.304241e-03       3.428156e-03       3.848483e-03
         830       6.607596e-01       1.484108e-01       2.658882e-01       4.336092e-03       3.463822e-03       3.856280e-03
         840       6.431376e-01       1.471503e-01       2.580585e-01       6.275934e-03       3.006355e-03       3.926524e-03
         850       6.335352e-01       1.487366e-01       2.540057e-01       2.769685e-03       2.300155e-03       2.507634e-03
         860       6.408323e-01       1.485786e-01       2.568702e-01       4.860597e-03       3.216034e-03       3.735608e-03
         870       6.587981e-01       1.543800e-01       2.638613e-01       3.553690e-03       2.829642e-03       3.192235e-03
         880       6.805797e-01       1.639500e-01       2.724679e-01       4.595342e-03       3.622060e-03       4.142022e-03
         890       7.019412e-01       1.656972e-01       2.809988e-01       9.361473e-03       2.194609e-03       5.156542e-03
         900       7.092720e-01       1.625989e-01       2.844436e-01       4.877110e-03       2.628090e-03       3.682263e-03
         910       6.966934e-01       1.475436e-01       2.804478e-01       4.554283e-03       2.857199e-03       3.624643e-03
         920       6.709065e-01       1.369971e-01       2.706635e-01       9.423793e-03       4.552907e-03       7.092233e-03
         930       6.479601e-01       1.286131e-01       2.655301e-01       1.198062e-02       3.238595e-03       6.364491e-03
         940       6.386874e-01       1.332656e-01       2.681820e-01       1.824075e-02       6.369954e-03       1.091784e-02
         950       6.453532e-01       1.283841e-01       2.663597e-01       2.611989e-02       4.697024e-03       1.281819e-02
         960       6.706750e-01       1.303998e-01       2.738585e-01       1.699578e-02       3.188926e-03       1.044159e-02
         970       6.998081e-01       1.368884e-01       2.846459e-01       1.409892e-02       3.061042e-03       7.472756e-03
         980       7.126925e-01       1.461570e-01       2.873786e-01       7.798897e-03       3.520472e-03       5.737339e-03
         990       7.042354e-01       1.513922e-01       2.829432e-01       8.375914e-03       5.147565e-03       6.370388e-03
        1000       6.816810e-01       1.461623e-01       2.739834e-01       5.197801e-03       2.909329e-03       3.890292e-03
        1010       6.581102e-01       1.468383e-01       2.640456e-01       5.881827e-03       2.746933e-03       4.115314e-03
        1020       6.390200e-01       1.531643e-01       2.559506e-01       2.728859e-03       2.090463e-03       2.472429e-03
        1030       6.340135e-01       1.533514e-01       2.538030e-01       3.285199e-03       1.648415e-03       2.539377e-03
        1040       6.450051e-01       1.584503e-01       2.581424e-01       4.448007e-03       1.485547e-03       2.740147e-03
        1050       6.628851e-01       1.563878e-01       2.657437e-01       4.232561e-03       3.528751e-03       4.000042e-03
        1060       6.807149e-01       1.566395e-01       2.730810e-01       3.977981e-03       2.122655e-03       2.950763e-03
        1070       6.914437e-01       1.650173e-01       2.772035e-01       6.299667e-03       2.058236e-03       4.004171e-03
        1080       6.918867e-01       1.617660e-01       2.777543e-01       4.256666e-03       2.039304e-03       2.927194e-03
        1090       6.818546e-01       1.536942e-01       2.742235e-01       5.331725e-03       2.979947e-03       4.311167e-03
        1100       6.625649e-01       1.525735e-01       2.662927e-01       4.097890e-03       2.552986e-03       3.506089e-03
        1110       6.442774e-01       1.484751e-01       2.592839e-01       6.999407e-03       2.562596e-03       4.120824e-03
        1120       6.329878e-01       1.434493e-01       2.555697e-01       7.200489e-03       2.562695e-03       4.146399e-03
        1130       6.344712e-01       1.431813e-01       2.563688e-01       8.814647e-03       2.942527e-03       4.768340e-03
        1140       6.480632e-01       1.434901e-01       2.619303e-01       9.374970e-03       3.573273e-03       5.339184e-03
        1150       6.675102e-01       1.497465e-01       2.700408e-01       5.071016e-03       2.299187e-03       4.232915e-03
        1160       6.860184e-01       1.510736e-01       2.776565e-01       6.372353e-03       3.893875e-03       5.065452e-03
        1170       6.924611e-01       1.494403e-01       2.805151e-01       8.143387e-03       3.957744e-03       5.383749e-03
