#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       7.099200e-01       1.663818e-01       2.843149e-01       1.156957e-02       3.131183e-03       6.094938e-03
          10       7.133679e-01       1.613788e-01       2.862520e-01       1.014633e-02       2.211112e-03       6.178627e-03
          20       6.972627e-01       1.528487e-01       2.802084e-01       5.102194e-03       1.927488e-03       3.747276e-03
          30       6.666286e-01       1.540435e-01       2.671362e-01       5.312192e-03       2.442844e-03       3.533698e-03
          40       6.380313e-01       1.454932e-01       2.560321e-01       5.505773e-03       1.616682e-03       2.823505e-03
          50       6.225882e-01       1.366967e-01       2.507980e-01       8.225551e-03       3.155093e-03       4.837954e-03
          60       6.241795e-01       1.444831e-01       2.503781e-01       5.208470e-03       2.500997e-03       4.169727e-03
          70       6.437144e-01       1.486272e-01       2.579763e-01       3.803242e-03       2.387098e-03       3.397413e-03
          80       6.734427e-01       1.489406e-01       2.706177e-01       4.438422e-03       1.627558e-03       3.194022e-03
          90       6.949809e-01       1.603185e-01       2.786377e-01       5.698887e-03       2.437064e-03       3.941084e-03
         100       7.036990e-01       1.676536e-01       2.816976e-01       1.007211e-02       2.286266e-03       5.106129e-03
         110       6.984427e-01       1.586493e-01       2.800647e-01       3.568237e-03       2.016863e-03       3.094935e-03
         120       6.813773e-01       1.552265e-01       2.733369e-01       3.943687e-03       1.955416e-03       2.949199e-03
         130       6.581018e-01       1.563907e-01       2.634934e-01       3.284409e-03       2.488468e-03       2.891400e-03
         140       6.396136e-01       1.487875e-01       2.563201e-01       3.777852e-03       1.943182e-03       2.639328e-03
         150       6.317834e-01       1.451260e-01       2.535398e-01       3.559959e-03       2.371061e-03       3.191712e-03
         160       6.352763e-01       1.509731e-01       2.544488e-01       2.550454e-03       1.751651e-03       2.113641e-03
         170       6.508603e-01       1.527742e-01       2.606737e-01       4.215774e-03       1.463679e-03       2.672210e-03
         180       6.726259e-01       1.545099e-01       2.697173e-01       3.615189e-03       1.510208e-03       3.055957e-03
         190       6.919670e-01       1.642196e-01       2.772309e-01       4.590255e-03       2.277208e-03       3.133796e-03
         200       7.021790e-01       1.662183e-01       2.810773e-01       8.645674e-03       1.914278e-03       4.598560e-03
         210       7.008990e-01       1.578457e-01       2.811139e-01       4.703125e-03       2.224564e-03       3.045204e-03
         220       6.838457e-01       1.560997e-01       2.744485e-01       8.198102e-03       3.013520e-03       5.028818e-03
         230       6.538739e-01       1.561351e-01       2.618150e-01       4.033624e-03       1.572730e-03       2.632325e-03
         240       6.281868e-01       1.417459e-01       2.520595e-01       9.255969e-03       3.939646e-03       5.680093e-03
         250       6.191850e-01       1.403209e-01       2.489276e-01       6.155184e-03       3.452051e-03       4.305861e-03
         260       6.285930e-01       1.509327e-01       2.517124e-01       5.013139e-03       2.976390e-03       4.285535e-03
         270       6.561754e-01       1.524003e-01       2.628302e-01       6.548515e-03       1.503708e-03       3.301912e-03
         280       6.893033e-01       1.615265e-01       2.764388e-01       1.137334e-02       4.689129e-03       7.595923e-03
         290       7.105526e-01       1.680265e-01       2.845238e-01       6.725777e-03       2.860948e-03       4.239856e-03
         300       7.156663e-01       1.671339e-01       2.865553e-01       1.064423e-02       5.798202e-03       8.468882e-03
         310       6.998136e-01       1.627121e-01       2.803913e-01       2.835503e-03       1.335317e-03       1.958246e-03
         320       6.734755e-01       1.559861e-01       2.698887e-01       9.875773e-03       3.110607e-03       5.528005e-03
         330       6.415767e-01       1.532285e-01       2.568282e-01       5.459592e-03       1.480490e-03       2.877892e-03
         340       6.242801e-01       1.460716e-01       2.501259e-01       5.305811e-03       2.397041e-03       3.626435e-03
         350       6.255406e-01       1.464379e-01       2.506110e-01       6.970734e-03       2.827731e-03       4.900373e-03
         360       6.413147e-01       1.577107e-01       2.566571e-01       2.692913e-03       2.173347e-03       2.390317e-03
         370       6.691113e-01       1.606950e-01       2.678710e-01       7.932970e-03       3.748452e-03       4.974309e-03
         380       6.929148e-01       1.633864e-01       2.774039e-01       2.831350e-03       8.617201e-04       2.060683e-03
         390       7.052979e-01       1.703140e-01       2.822862e-01       7.034574e-03       2.809222e-03       5.012910e-03
         400       7.023813e-01       1.711983e-01       2.811002e-01       6.447540e-03       1.720728e-03       3.652723e-03
         410       6.861048e-01       1.639554e-01       2.746477e-01       5.423808e-03       3.126519e-03       4.281636e-03
         420       6.626356e-01       1.593402e-01       2.652698e-01       4.271679e-03       2.156595e-03       2.830882e-03
         430       6.391212e-01       1.564369e-01       2.558005e-01       4.167631e-03       2.655118e-03       3.395953e-03
         440       6.274495e-01       1.514844e-01       2.512453e-01       2.378023e-03       1.541502e-03       1.992890e-03
         450       6.312388e-01       1.506580e-01       2.528383e-01       7.449448e-03       2.863290e-03       4.084374e-03
         460       6.476567e-01       1.553645e-01       2.592535e-01       2.852481e-03       2.292604e-03       2.511601e-03
         470       6.749569e-01       1.632053e-01       2.702637e-01       6.567617e-03       3.319816e-03       4.814774e-03
         480       7.001393e-01       1.641375e-01       2.804843e-01       5.310767e-03       1.939733e-03       3.100651e-03
         490       7.138158e-01       1.705573e-01       2.858500e-01       1.044724e-02       4.352719e-03       6.005586e-03
         500       7.096148e-01       1.699732e-01       2.840887e-01       1.181060e-02       1.994989e-03       6.895988e-03
         510       6.863368e-01       1.601507e-01       2.749823e-01       4.685758e-03       3.416213e-03       3.816766e-03
         520       6.525614e-01       1.517365e-01       2.616282e-01       1.175054e-02       3.676466e-03       5.745211e-03
         530       6.225081e-01       1.417351e-01       2.496074e-01       8.297257e-03       3.165417e-03       4.733503e-03
         540       6.154213e-01       1.379946e-01       2.474923e-01       1.372684e-02       4.939861e-03       1.005979e-02
         550       6.302355e-01       1.401053e-01       2.530941e-01       7.670788e-03       2.225551e-03       4.285824e-03
         560       6.623986e-01       1.466388e-01       2.656971e-01       8.080084e-03       1.947035e-03       4.398682e-03
         570       6.959472e-01       1.527479e-01       2.798059e-01       6.780813e-03       2.283020e-03       5.177832e-03
         580       7.119105e-01       1.584349e-01       2.857448e-01       6.468524e-03       1.419308e-03       4.509009e-03
         590       7.111848e-01       1.615047e-01       2.848796e-01       1.319641e-02       3.026666e-03       7.172408e-03
         600       6.924999e-01       1.544719e-01       2.778254e-01       4.834001e-03       1.661052e-03       2.735840e-03
         610       6.660031e-01       1.471089e-01       2.677478e-01       6.596758e-03       2.689448e-03       4.354574e-03
         620       6.382407e-01       1.454688e-01       2.557935e-01       3.314445e-03       1.726062e-03       2.628053e-03
         630       6.243163e-01       1.410732e-01       2.504013e-01       4.934621e-03       2.549738e-03       3.944709e-03
         640       6.289203e-01       1.381502e-01       2.531301e-01       7.285714e-03       2.234942e-03       4.165010e-03
         650       6.452966e-01       1.459761e-01       2.587581e-01       3.925147e-03       2.390861e-03       3.014294e-03
         660       6.713120e-01       1.543419e-01       2.688902e-01       5.378824e-03       2.378737e-03       3.309451e-03
         670       6.959653e-01       1.532708e-01       2.795005e-01       8.750855e-03       3.397597e-03       4.836713e-03
         680       7.073232e-01       1.566082e-01       2.838117e-01       5.739205e-03       6.268324e-04       3.849149e-03
         690       7.029552e-01       1.619912e-01       2.814753e-01       1.201719e-02       3.589253e-03       6.654811e-03
         700       6.839316e-01       1.533452e-01       2.744115e-01       3.581998e-03       2.407339e-03       2.724603e-03
         710       6.583058e-01       1.435797e-01       2.648072e-01       7.423395e-03       3.256675e-03       4.906190e-03
         720       6.313133e-01       1.430958e-01       2.530384e-01       4.644441e-03       1.742113e-03       3.093542e-03
         730       6.203908e-01       1.398854e-01       2.490055e-01       5.229517e-03       2.556233e-03       4.393456e-03
         740       6.302747e-01       1.377746e-01       2.537429e-01       6.110511e-03       1.966989e-03       4.155724e-03
         750       6.529302e-01       1.497381e-01       2.616627e-01       2.906840e-03       2.011427e-03       2.564315e-03
         760       6.832875e-01       1.592421e-01       2.737618e-01       5.961739e-03       2.615639e-03       4.496791e-03
         770       7.060831e-01       1.557922e-01       2.834020e-01       5.537905e-03       1.819260e-03       3.160411e-03
         780       7.144936e-01       1.596575e-01       2.865117e-01       9.785845e-03       2.756029e-03       6.641316e-03
         790       7.018029e-01       1.654862e-01       2.810539e-01       6.311789e-03       4.111766e-03       5.053478e-03
         800       6.758078e-01       1.528192e-01       2.712060e-01       5.097487e-03       2.080900e-03       3.253888e-03
         810       6.471208e-01       1.432845e-01       2.598389e-01       7.493740e-03       2.438620e-03       4.345694e-03
         820       6.230034e-01       1.454142e-01       2.495294e-01       4.056282e-03       2.577590e-03       3.119220e-03
         830       6.208300e-01       1.437790e-01       2.492176e-01       1.098132e-02       3.661276e-03       7.015817e-03
         840       6.374865e-01       1.455801e-01       2.556056e-01       3.520668e-03       1.896996e-03       2.739947e-03
         850       6.656675e-01       1.604086e-01       2.664063e-01       7.521013e-03       2.692885e-03       4.265987e-03
         860       6.944084e-01       1.629568e-01       2.782299e-01       7.471865e-03       3.415513e-03       5.246266e-03
         870       7.108027e-01       1.653438e-01       2.847164e-01       6.253795e-03       2.380256e-03       4.640294e-03
         880       7.107209e-01       1.710788e-01       2.844345e-01       1.076013e-02       1.872666e-03       6.252074e-03
         890       6.912622e-01       1.654281e-01       2.767520e-01       4.588835e-03       2.588647e-03       3.629147e-03
         900       6.644503e-01       1.549598e-01       2.662956e-01       4.387062e-03       2.693434e-03       3.795553e-03
         910       6.388648e-01       1.528343e-01       2.557466e-01       6.556696e-03       2.651373e-03       4.021050e-03
         920       6.246675e-01       1.526219e-01       2.500107e-01       3.603661e-03       2.604947e-03       3.123782e-03
         930       6.302568e-01       1.519673e-01       2.524268e-01       5.964747e-03       2.418831e-03       3.477590e-03
         940       6.486832e-01       1.581178e-01       2.596474e-01       3.072846e-03       2.213206e-03       2.513131e-03
         950       6.709242e-01       1.651017e-01       2.684971e-01       3.602306e-03       1.949754e-03       2.696665e-03
         960       6.909311e-01       1.667901e-01       2.765839e-01       5.225284e-03       1.754895e-03       3.382563e-03
         970       6.997694e-01       1.703521e-01       2.800263e-01       4.177367e-03       9.474242e-04       2.142784e-03
         980       6.967588e-01       1.693908e-01       2.788471e-01       7.147049e-03       2.242607e-03       3.818981e-03
         990       6.806723e-01       1.654603e-01       2.724058e-01       3.101003e-03       2.077014e-03       2.629791e-03
        1000       6.598702e-01       1.605471e-01       2.641714e-01       4.087727e-03       1.854662e-03       3.064477e-03
        1010       6.392720e-01       1.562522e-01       2.558781e-01       3.151143e-03       2.056979e-03       2.414278e-03
        1020       6.267077e-01       1.537962e-01       2.508626e-01       2.991992e-03       2.037538e-03       2.483305e-03
        1030       6.309965e-01       1.554341e-01       2.525803e-01       6.865615e-03       3.077926e-03       4.233944e-03
        1040       6.503549e-01       1.577127e-01       2.602959e-01       3.060719e-03       2.220409e-03       2.668459e-03
        1050       6.788095e-01       1.618970e-01       2.718998e-01       5.792624e-03       3.134837e-03       4.617451e-03
        1060       7.037719e-01       1.702247e-01       2.817049e-01       6.780344e-03       3.402883e-03       4.296695e-03
        1070       7.157343e-01       1.756201e-01       2.864199e-01       1.167484e-02       1.677564e-03       6.253434e-03
        1080       7.082007e-01       1.670193e-01       2.836590e-01       8.138099e-03       3.314796e-03       5.173587e-03
        1090       6.821841e-01       1.615588e-01       2.732649e-01       3.745012e-03       1.922292e-03       3.001349e-03
        1100       6.493090e-01       1.550254e-01       2.599905e-01       4.719245e-03       1.648732e-03       2.969475e-03
        1110       6.240388e-01       1.429012e-01       2.502192e-01       6.350555e-03       3.080426e-03       5.011192e-03
        1120       6.179102e-01       1.465014e-01       2.477876e-01       6.686704e-03       3.750480e-03       5.170047e-03
        1130       6.344065e-01       1.494470e-01       2.544116e-01       6.814004e-03       2.111995e-03       3.668783e-03
        1140       6.635207e-01       1.495692e-01       2.660800e-01       4.657639e-03       2.474733e-03       3.633586e-03
        1150       6.936231e-01       1.615322e-01       2.780001e-01       7.317185e-03       2.898585e-03       5.180825e-03
        1160       7.108504e-01       1.667238e-01       2.849661e-01       8.544033e-03       1.769030e-03       5.445214e-03
        1170       7.096322e-01       1.607775e-01       2.845321e-01       6.441238e-03       1.825667e-03       4.784819e-03
        1180       6.918283e-01       1.617918e-01       2.771554e-01       8.705030e-03       3.681373e-03       6.034281e-03
        1190       6.648762e-01       1.583544e-01       2.664182e-01       3.861687e-03       2.777544e-03       3.111655e-03
        1200       6.402571e-01       1.447998e-01       2.570809e-01       7.286889e-03       3.805695e-03       4.960971e-03
        1210       6.251232e-01       1.437671e-01       2.506132e-01       3.718721e-03       2.118682e-03       2.900820e-03
        1220       6.293220e-01       1.502021e-01       2.521620e-01       6.578935e-03       2.877861e-03       4.182455e-03
        1230       6.470500e-01       1.466316e-01       2.597386e-01       4.726012e-03       2.612411e-03       3.278624e-03
        1240       6.692290e-01       1.524762e-01       2.682763e-01       3.911333e-03       1.155886e-03       2.782239e-03
        1250       6.886286e-01       1.661443e-01       2.756702e-01       4.454652e-03       2.541858e-03       3.683001e-03
        1260       6.973213e-01       1.638990e-01       2.793956e-01       3.431619e-03       1.341927e-03       1.913566e-03
        1270       6.941131e-01       1.579010e-01       2.782710e-01       4.711568e-03       2.585793e-03       3.237186e-03
        1280       6.792110e-01       1.611513e-01       2.719085e-01       3.022722e-03       1.616769e-03       2.378469e-03
        1290       6.610375e-01       1.596404e-01       2.646941e-01       3.784267e-03       1.668853e-03       2.884511e-03
        1300       6.447786e-01       1.486646e-01       2.585764e-01       3.171563e-03       1.826867e-03       2.570707e-03
        1310       6.351796e-01       1.483028e-01       2.544754e-01       2.835564e-03       1.907678e-03       2.246791e-03
        1320       6.374899e-01       1.538660e-01       2.552294e-01       4.180685e-03       1.216453e-03       2.390635e-03
        1330       6.498524e-01       1.506668e-01       2.605459e-01       4.042480e-03       2.545177e-03       3.384245e-03
        1340       6.684224e-01       1.533963e-01       2.679384e-01       3.937912e-03       1.421941e-03       2.655017e-03
        1350       6.872372e-01       1.651039e-01       2.750879e-01       5.461953e-03       2.017329e-03       3.803897e-03
        1360       7.001565e-01       1.638148e-01       2.805501e-01       4.106796e-03       1.237729e-03       2.308210e-03
        1370       7.016249e-01       1.563526e-01       2.816268e-01       7.490468e-03       3.340753e-03       5.066851e-03
        1380       6.844147e-01       1.586689e-01       2.741561e-01       4.471998e-03       1.704816e-03       2.751292e-03
        1390       6.598703e-01       1.563955e-01       2.644049e-01       4.257451e-03       2.028725e-03       2.978477e-03
        1400       6.348084e-01       1.411044e-01       2.553410e-01       4.009476e-03       1.974927e-03       2.947652e-03
        1410       6.208609e-01       1.392224e-01       2.493581e-01       7.147316e-03       2.975072e-03       4.958829e-03
        1420       6.266224e-01       1.464929e-01       2.512162e-01       7.137712e-03       4.114179e-03       5.532619e-03
        1430       6.500553e-01       1.448358e-01       2.613768e-01       3.944259e-03       2.606428e-03       3.200901e-03
        1440       6.833314e-01       1.526773e-01       2.743837e-01       5.831619e-03       2.807157e-03       4.851456e-03
        1450       7.068154e-01       1.642072e-01       2.831211e-01       1.185180e-02       1.987288e-03       5.378952e-03
        1460       7.170063e-01       1.610339e-01       2.878777e-01       1.045986e-02       2.682733e-03       6.732595e-03
        1470       7.064133e-01       1.572636e-01       2.837471e-01       1.002167e-02       4.243736e-03       6.120781e-03
        1480       6.770861e-01       1.571816e-01       2.712583e-01       4.902837e-03       2.769477e-03       3.771179e-03
        1490       6.455952e-01       1.457255e-01       2.592620e-01       1.138712e-02       3.907023e-03       5.896535e-03
        1500       6.217104e-01       1.398158e-01       2.498592e-01       3.820554e-03       1.914303e-03       2.813441e-03
        1510       6.191470e-01       1.458071e-01       2.480157e-01       9.874004e-03       3.799522e-03       6.820558e-03
        1520       6.371799e-01       1.473714e-01       2.555597e-01       8.860156e-03       2.886862e-03       4.704260e-03
        1530       6.666044e-01       1.544111e-01       2.672782e-01       6.998045e-03       2.646252e-03       4.523905e-03
        1540       6.938594e-01       1.684582e-01       2.777284e-01       6.964903e-03       2.836412e-03       5.031385e-03
        1550       7.069837e-01       1.678091e-01       2.830479e-01       7.258423e-03       2.253113e-03       4.070049e-03
        1560       7.061714e-01       1.635433e-01       2.830565e-01       8.221229e-03       1.722963e-03       4.841122e-03
        1570       6.888644e-01       1.666003e-01       2.758170e-01       5.199545e-03       3.133993e-03       3.968796e-03
        1580       6.633357e-01       1.603116e-01       2.654682e-01       3.208894e-03       2.059555e-03       2.738931e-03
        1590       6.410935e-01       1.491292e-01       2.569786e-01       3.688638e-03       2.378085e-03       3.062531e-03
        1600       6.286460e-01       1.519423e-01       2.517913e-01       2.664175e-03       1.748584e-03       2.208075e-03
        1610       6.308901e-01       1.560268e-01       2.524675e-01       4.625364e-03       2.001735e-03       2.836112e-03
        1620       6.467865e-01       1.526738e-01       2.590659e-01       3.030326e-03       2.028174e-03       2.475296e-03
        1630       6.708897e-01       1.618533e-01       2.686356e-01       3.558603e-03       2.184190e-03       2.931937e-03
        1640       6.932091e-01       1.679837e-01       2.774215e-01       5.807850e-03       2.167565e-03       3.640789e-03
        1650       7.046614e-01       1.713599e-01       2.820184e-01       6.553551e-03       9.900970e-04       3.249936e-03
        1660       7.052233e-01       1.650723e-01       2.824589e-01       8.631779e-03       1.698247e-03       5.240281e-03
        1670       6.886058e-01       1.653406e-01       2.756493e-01       5.442092e-03       2.359763e-03       3.821282e-03
