#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       9.936164e-01       2.184762e-01       4.003357e-01       1.650725e-02       6.920828e-03       1.198612e-02
          10       1.012130e+00       2.242246e-01       4.098888e-01       1.633962e-02       1.167409e-02       1.413129e-02
          20       1.044183e+00       2.320843e-01       4.246692e-01       2.468530e-02       5.703498e-03       1.315356e-02
          30       1.087971e+00       2.384809e-01       4.369284e-01       2.484595e-02       1.567386e-02       2.077218e-02
          40       1.124363e+00       2.476526e-01       4.524153e-01       1.327839e-02       8.764336e-03       1.131185e-02
          50       1.116224e+00       2.467994e-01       4.499572e-01       2.540809e-02       4.892650e-03       1.317097e-02
          60       1.078539e+00       2.490710e-01       4.321624e-01       3.510307e-02       1.594668e-02       2.419865e-02
          70       1.038799e+00       2.406068e-01       4.164046e-01       1.007847e-02       6.934068e-03       8.717852e-03
          80       9.886681e-01       2.333219e-01       3.976599e-01       4.224284e-02       9.755456e-03       2.065471e-02
          90       9.696345e-01       2.314949e-01       3.910621e-01       2.585005e-02       1.171177e-02       1.614065e-02
         100       9.962922e-01       2.328911e-01       3.997762e-01       2.582017e-02       1.273649e-02       2.278737e-02
         110       1.036416e+00       2.324578e-01       4.165435e-01       2.001370e-02       8.826275e-03       1.290510e-02
         120       1.098776e+00       2.385786e-01       4.487305e-01       7.197799e-02       2.312538e-02       3.730823e-02
         130       1.150833e+00       2.328765e-01       4.669072e-01       2.296408e-02       1.137002e-02       1.901721e-02
         140       1.123999e+00       2.264619e-01       4.587652e-01       3.008080e-02       1.891807e-02       2.527815e-02
         150       1.060833e+00       2.338887e-01       4.434027e-01       7.959068e-02       2.199420e-02       3.701736e-02
         160       1.009605e+00       2.138615e-01       4.153972e-01       2.122163e-02       1.109485e-02       1.581220e-02
         170       9.812276e-01       2.229365e-01       4.073577e-01       3.338777e-02       1.957659e-02       2.882776e-02
         180       9.894321e-01       2.255905e-01       4.113867e-01       5.175699e-02       1.530672e-02       2.422168e-02
         190       1.033086e+00       2.217911e-01       4.179325e-01       1.495321e-02       1.008139e-02       1.271287e-02
         200       1.080194e+00       2.369002e-01       4.365097e-01       6.970631e-03       4.728658e-03       5.943367e-03
         210       1.105364e+00       2.450936e-01       4.486716e-01       4.750843e-02       1.909369e-02       3.081037e-02
         220       1.116093e+00       2.508921e-01       4.479060e-01       8.702594e-03       5.651774e-03       6.685772e-03
         230       1.091296e+00       2.474258e-01       4.380283e-01       9.692791e-03       7.393839e-03       8.507966e-03
         240       1.045242e+00       2.378610e-01       4.219391e-01       3.235821e-02       1.314297e-02       2.030739e-02
         250       1.013411e+00       2.318363e-01       4.067378e-01       1.694852e-02       1.095600e-02       1.314671e-02
         260       9.974553e-01       2.277115e-01       3.998687e-01       1.607324e-02       8.409484e-03       1.178344e-02
         270       1.002913e+00       2.303590e-01       4.040211e-01       2.407247e-02       5.639381e-03       1.097646e-02
         280       1.034407e+00       2.329859e-01       4.160976e-01       2.279650e-02       1.667170e-02       1.977327e-02
         290       1.079349e+00       2.394960e-01       4.327651e-01       9.591938e-03       5.723481e-03       7.045430e-03
         300       1.108567e+00       2.436358e-01       4.464565e-01       2.914842e-02       1.057002e-02       1.690111e-02
