# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    7.19e+01  7.51e+01    7.36e+00  7.35e+00    2.27e+00  2.37e+00    1.0e-03
   1000    3.75e+00  4.36e+00    1.93e-01  1.95e-01    1.35e-01  1.56e-01    7.7e-04
   2000    3.24e+00  2.52e+00    5.53e-02  5.52e-02    1.32e-01  1.03e-01    6.0e-04
   3000    2.65e+00  2.91e+00    1.56e-01  1.57e-01    1.22e-01  1.34e-01    4.6e-04
   4000    2.28e+00  2.99e+00    4.71e-02  4.73e-02    1.20e-01  1.57e-01    3.6e-04
   5000    2.00e+00  2.24e+00    4.11e-02  4.03e-02    1.20e-01  1.34e-01    2.8e-04
   6000    1.73e+00  2.20e+00    1.35e-02  1.32e-02    1.18e-01  1.50e-01    2.1e-04
   7000    1.55e+00  1.97e+00    1.25e-02  1.31e-02    1.20e-01  1.53e-01    1.7e-04
   8000    1.34e+00  1.51e+00    5.23e-03  4.47e-03    1.18e-01  1.33e-01    1.3e-04
   9000    1.20e+00  1.44e+00    2.18e-02  2.28e-02    1.19e-01  1.43e-01    9.9e-05
  10000    1.06e+00  9.43e-01    7.01e-03  7.35e-03    1.20e-01  1.07e-01    7.7e-05
  11000    9.06e-01  1.35e+00    4.07e-03  4.84e-03    1.17e-01  1.74e-01    6.0e-05
  12000    7.99e-01  9.15e-01    1.52e-03  9.95e-04    1.16e-01  1.33e-01    4.6e-05
  13000    7.04e-01  7.30e-01    1.35e-02  1.33e-02    1.16e-01  1.20e-01    3.6e-05
  14000    6.26e-01  7.26e-01    3.27e-04  7.38e-04    1.17e-01  1.36e-01    2.8e-05
  15000    5.57e-01  6.37e-01    2.99e-03  2.31e-03    1.18e-01  1.35e-01    2.1e-05
  16000    4.87e-01  5.62e-01    2.87e-03  2.40e-03    1.17e-01  1.34e-01    1.7e-05
  17000    4.30e-01  2.23e-01    2.48e-03  2.18e-03    1.16e-01  6.01e-02    1.3e-05
  18000    3.83e-01  5.75e-01    1.12e-03  8.79e-04    1.16e-01  1.74e-01    9.9e-06
  19000    3.42e-01  3.75e-01    1.49e-03  2.64e-03    1.16e-01  1.28e-01    7.7e-06
  20000    3.06e-01  3.66e-01    6.18e-03  5.64e-03    1.16e-01  1.39e-01    5.9e-06
  21000    2.74e-01  2.81e-01    3.23e-03  2.61e-03    1.16e-01  1.19e-01    4.6e-06
  22000    2.48e-01  2.67e-01    1.67e-03  8.99e-04    1.16e-01  1.25e-01    3.5e-06
  23000    2.26e-01  2.44e-01    2.14e-03  2.39e-03    1.17e-01  1.26e-01    2.7e-06
  24000    2.05e-01  2.10e-01    2.81e-03  2.21e-03    1.16e-01  1.19e-01    2.1e-06
  25000    1.89e-01  2.29e-01    7.38e-04  9.44e-04    1.16e-01  1.41e-01    1.6e-06
  26000    1.76e-01  2.13e-01    1.23e-03  2.18e-03    1.17e-01  1.41e-01    1.3e-06
  27000    1.64e-01  2.16e-01    9.31e-04  7.75e-04    1.16e-01  1.53e-01    9.8e-07
  28000    1.55e-01  1.57e-01    1.32e-03  8.62e-04    1.17e-01  1.18e-01    7.6e-07
  29000    1.47e-01  1.69e-01    2.66e-04  6.06e-04    1.17e-01  1.34e-01    5.9e-07
  30000    1.41e-01  1.68e-01    5.93e-04  5.28e-04    1.17e-01  1.39e-01    4.6e-07
  31000    1.35e-01  1.62e-01    2.88e-04  6.32e-04    1.16e-01  1.39e-01    3.5e-07
  32000    1.12e-01  1.32e-01    9.96e-04  2.08e-03    9.91e-02  1.17e-01    2.7e-07
  33000    1.28e-01  1.68e-01    1.22e-03  1.19e-03    1.16e-01  1.52e-01    2.1e-07
  34000    1.07e-01  1.07e-01    1.15e-03  1.35e-03    9.95e-02  9.87e-02    1.6e-07
  35000    1.24e-01  1.28e-01    6.67e-04  6.74e-04    1.16e-01  1.21e-01    1.3e-07
  36000    1.22e-01  1.09e-01    7.45e-04  8.28e-04    1.16e-01  1.04e-01    9.8e-08
  37000    1.21e-01  1.41e-01    5.18e-04  5.15e-04    1.16e-01  1.36e-01    7.6e-08
  38000    1.20e-01  1.28e-01    6.22e-04  5.20e-04    1.16e-01  1.25e-01    5.9e-08
  39000    1.19e-01  1.28e-01    4.83e-04  6.12e-04    1.16e-01  1.25e-01    4.5e-08
  40000    1.18e-01  1.21e-01    4.70e-04  6.47e-04    1.16e-01  1.18e-01    3.5e-08
