#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.098680e+00       2.320678e-01       4.466284e-01       1.018647e-02       5.399348e-03       8.130694e-03
          10       1.111436e+00       2.305994e-01       4.565919e-01       1.323405e-02       8.628830e-03       1.067491e-02
          20       1.092053e+00       2.225629e-01       4.499603e-01       1.135348e-02       2.915711e-03       7.751533e-03
          30       1.059137e+00       2.280225e-01       4.410684e-01       2.702888e-02       6.552260e-03       1.539141e-02
          40       1.032243e+00       2.291348e-01       4.345354e-01       3.120245e-02       3.262160e-03       1.519168e-02
          50       1.016205e+00       2.167484e-01       4.247016e-01       1.465825e-02       8.230414e-03       1.259407e-02
          60       1.025365e+00       2.287200e-01       4.311042e-01       3.523040e-02       8.290987e-03       1.781407e-02
          70       1.053694e+00       2.295984e-01       4.414778e-01       2.852998e-02       8.320176e-03       1.526208e-02
          80       1.086965e+00       2.210683e-01       4.455406e-01       1.577650e-02       7.213557e-03       1.207921e-02
          90       1.109645e+00       2.334679e-01       4.549690e-01       1.162754e-02       5.359782e-03       7.466280e-03
         100       1.103086e+00       2.361486e-01       4.502719e-01       1.564077e-02       6.810869e-03       1.077875e-02
         110       1.072702e+00       2.351305e-01       4.324401e-01       9.638949e-03       6.780434e-03       7.875045e-03
         120       1.033084e+00       2.291206e-01       4.172274e-01       1.703535e-02       9.595834e-03       1.246528e-02
         130       9.987831e-01       2.253414e-01       4.030034e-01       8.516617e-03       3.198169e-03       5.846368e-03
         140       9.903007e-01       2.218475e-01       4.003513e-01       2.163554e-02       6.965714e-03       1.307668e-02
         150       1.011409e+00       2.235004e-01       4.092330e-01       1.462144e-02       5.620122e-03       1.005606e-02
         160       1.045435e+00       2.280034e-01       4.278129e-01       1.491815e-02       1.141773e-02       1.310008e-02
         170       1.079680e+00       2.308657e-01       4.470074e-01       3.477625e-02       8.160988e-03       1.747647e-02
         180       1.090008e+00       2.334574e-01       4.467908e-01       2.290224e-02       9.872204e-03       1.634429e-02
         190       1.071392e+00       2.313802e-01       4.406590e-01       1.584955e-02       9.477584e-03       1.229047e-02
         200       1.036612e+00       2.292922e-01       4.255636e-01       2.121139e-02       8.315255e-03       1.133541e-02
         210       1.015023e+00       2.255305e-01       4.110770e-01       1.639625e-02       4.518531e-03       1.170956e-02
         220       1.010455e+00       2.266526e-01       4.091540e-01       1.177075e-02       4.991266e-03       8.060715e-03
         230       1.021236e+00       2.296096e-01       4.148845e-01       2.061912e-02       7.744628e-03       1.184292e-02
         240       1.050037e+00       2.320699e-01       4.231107e-01       6.623885e-03       4.033066e-03       5.472200e-03
         250       1.074085e+00       2.375483e-01       4.332405e-01       7.064996e-03       6.709388e-03       6.921578e-03
         260       1.087180e+00       2.388173e-01       4.423184e-01       1.650923e-02       3.369950e-03       7.269234e-03
         270       1.088699e+00       2.389556e-01       4.405465e-01       9.863858e-03       7.335949e-03       8.593872e-03
         280       1.068502e+00       2.374690e-01       4.325553e-01       1.095475e-02       6.335698e-03       8.067766e-03
         290       1.041571e+00       2.333598e-01       4.263485e-01       3.118026e-02       9.070866e-03       1.448409e-02
         300       1.025555e+00       2.305488e-01       4.177758e-01       1.465734e-02       6.737968e-03       1.033282e-02
