#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       9.379105e-01       2.140095e-01       3.771283e-01       2.059260e-02       9.374563e-03       1.523753e-02
          10       9.770159e-01       2.197684e-01       3.989033e-01       1.378650e-02       6.465246e-03       1.102760e-02
          20       1.055638e+00       2.288225e-01       4.312722e-01       1.813928e-02       5.130699e-03       1.043359e-02
          30       1.146332e+00       2.273643e-01       4.662356e-01       2.106241e-02       1.165436e-02       1.602117e-02
          40       1.191733e+00       2.335646e-01       4.910268e-01       4.234382e-02       1.001233e-02       2.520384e-02
          50       1.160934e+00       2.371719e-01       4.811286e-01       4.008480e-02       1.120579e-02       2.101253e-02
          60       1.077265e+00       2.180814e-01       4.429803e-01       1.736485e-02       1.327917e-02       1.484904e-02
          70       9.904520e-01       2.296246e-01       4.132871e-01       2.961224e-02       5.138414e-03       1.487623e-02
          80       9.415752e-01       2.414551e-01       3.963363e-01       6.028190e-02       1.417015e-02       3.136597e-02
          90       9.482656e-01       2.096991e-01       3.865546e-01       2.489364e-02       1.035593e-02       1.618879e-02
         100       1.006829e+00       2.311309e-01       4.052395e-01       1.909030e-02       9.200002e-03       1.156738e-02
         110       1.100368e+00       2.499302e-01       4.412384e-01       1.668595e-02       5.693165e-03       9.706239e-03
         120       1.187550e+00       2.422690e-01       4.852665e-01       3.427748e-02       1.620090e-02       2.509844e-02
         130       1.180508e+00       2.292183e-01       4.856883e-01       3.517280e-02       1.454254e-02       2.487355e-02
         140       1.078064e+00       2.303709e-01       4.513898e-01       3.566338e-02       1.823871e-02       2.330227e-02
         150       9.644487e-01       2.419024e-01       4.095155e-01       7.383215e-02       1.224700e-02       3.474848e-02
         160       9.028270e-01       2.228548e-01       3.746886e-01       3.954717e-02       2.541334e-02       2.988694e-02
         170       9.174909e-01       2.144485e-01       3.755459e-01       3.850341e-02       1.592699e-02       2.419149e-02
         180       9.957536e-01       2.292486e-01       4.010896e-01       2.070644e-02       6.328980e-03       1.074296e-02
         190       1.111520e+00       2.380435e-01       4.491181e-01       2.097855e-02       9.889382e-03       1.404253e-02
         200       1.199089e+00       2.403703e-01       4.917039e-01       3.803867e-02       9.619584e-03       2.370412e-02
         210       1.190288e+00       2.291316e-01       4.863572e-01       2.724335e-02       1.661776e-02       2.336603e-02
         220       1.105913e+00       2.320875e-01       4.598115e-01       3.173446e-02       1.007259e-02       1.726210e-02
         230       1.015909e+00       2.285637e-01       4.260441e-01       2.648143e-02       8.068512e-03       1.573167e-02
         240       9.654066e-01       2.199591e-01       4.011841e-01       2.870396e-02       8.656403e-03       1.685612e-02
         250       9.570449e-01       2.309407e-01       4.000666e-01       3.808849e-02       1.007875e-02       2.145624e-02
         260       9.917909e-01       2.204645e-01       4.093629e-01       1.080314e-02       8.014185e-03       9.690811e-03
         270       1.064987e+00       2.292820e-01       4.297284e-01       7.273147e-03       5.372519e-03       6.685108e-03
         280       1.137862e+00       2.584220e-01       4.572133e-01       1.037273e-02       5.497032e-03       8.558219e-03
         290       1.172069e+00       2.585668e-01       4.712963e-01       1.852541e-02       2.663010e-03       1.053466e-02
         300       1.151732e+00       2.581063e-01       4.627703e-01       1.454357e-02       7.831044e-03       1.115337e-02
