#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       6.695762e-01       1.446330e-01       2.693059e-01       9.663228e-03       3.803727e-03       5.383243e-03
          10       6.463705e-01       1.424948e-01       2.605115e-01       1.035911e-02       3.645748e-03       5.901275e-03
          20       6.323170e-01       1.344208e-01       2.559468e-01       1.129438e-02       4.217330e-03       6.065580e-03
          30       6.310964e-01       1.346194e-01       2.542218e-01       1.002204e-02       5.580085e-03       7.734081e-03
          40       6.457348e-01       1.399228e-01       2.598912e-01       4.003543e-03       3.477068e-03       3.793568e-03
          50       6.737212e-01       1.412901e-01       2.721525e-01       1.392987e-02       3.734341e-03       7.077174e-03
          60       6.922688e-01       1.470309e-01       2.783041e-01       8.565178e-03       2.027641e-03       5.805538e-03
          70       6.999817e-01       1.540394e-01       2.807540e-01       9.662412e-03       2.450616e-03       5.709768e-03
          80       6.975844e-01       1.485414e-01       2.809887e-01       1.487151e-02       3.925840e-03       7.377280e-03
          90       6.792375e-01       1.440022e-01       2.734194e-01       7.608917e-03       2.649401e-03       4.225211e-03
         100       6.556229e-01       1.458342e-01       2.628603e-01       7.363994e-03       3.468902e-03       5.634038e-03
         110       6.385563e-01       1.411242e-01       2.565232e-01       4.513659e-03       1.500893e-03       2.717398e-03
         120       6.361665e-01       1.381186e-01       2.559493e-01       7.236398e-03       4.059544e-03       4.940642e-03
         130       6.434635e-01       1.455219e-01       2.579176e-01       4.482054e-03       1.565142e-03       2.418817e-03
         140       6.588912e-01       1.501614e-01       2.640040e-01       5.150180e-03       3.535829e-03       4.590385e-03
         150       6.795920e-01       1.501407e-01       2.727490e-01       4.997305e-03       2.142685e-03       3.181508e-03
         160       6.912800e-01       1.571083e-01       2.769502e-01       4.870699e-03       3.349430e-03       3.973279e-03
         170       6.925866e-01       1.607347e-01       2.772809e-01       3.525998e-03       2.104986e-03       2.879762e-03
         180       6.858147e-01       1.529458e-01       2.750596e-01       8.956223e-03       4.329482e-03       6.004629e-03
         190       6.704658e-01       1.500046e-01       2.688669e-01       3.530761e-03       2.125293e-03       2.877278e-03
         200       6.516257e-01       1.524037e-01       2.609232e-01       7.305469e-03       2.772669e-03       4.804179e-03
         210       6.371861e-01       1.448329e-01       2.554135e-01       3.352147e-03       1.427125e-03       2.398652e-03
         220       6.375809e-01       1.419739e-01       2.560053e-01       1.071614e-02       3.861679e-03       5.827275e-03
         230       6.474477e-01       1.526018e-01       2.594377e-01       4.501266e-03       1.200980e-03       2.587011e-03
         240       6.669746e-01       1.572819e-01       2.670709e-01       5.195761e-03       3.384856e-03       4.441111e-03
         250       6.942614e-01       1.550449e-01       2.785988e-01       7.136680e-03       3.930626e-03       5.427693e-03
         260       7.080960e-01       1.614378e-01       2.839952e-01       6.972526e-03       2.382362e-03       5.633031e-03
         270       7.050096e-01       1.634215e-01       2.824082e-01       1.446226e-02       3.628836e-03       8.793140e-03
         280       6.859285e-01       1.572820e-01       2.749620e-01       6.829814e-03       3.287913e-03       4.396556e-03
         290       6.621698e-01       1.434554e-01       2.666774e-01       1.379654e-02       4.245209e-03       7.460773e-03
         300       6.353841e-01       1.345307e-01       2.560088e-01       6.956938e-03       2.869402e-03       4.412414e-03
         310       6.271927e-01       1.351241e-01       2.522745e-01       1.193263e-02       6.530274e-03       9.256237e-03
         320       6.414008e-01       1.321461e-01       2.597785e-01       1.360838e-02       4.370817e-03       7.418335e-03
         330       6.630018e-01       1.361645e-01       2.677526e-01       1.392052e-02       4.760570e-03       7.719109e-03
         340       6.859242e-01       1.459972e-01       2.755439e-01       7.484788e-03       2.876778e-03       5.814769e-03
         350       7.025621e-01       1.443057e-01       2.832209e-01       9.192924e-03       5.552806e-03       7.244610e-03
         360       7.026072e-01       1.429450e-01       2.835352e-01       8.909994e-03       2.771796e-03       5.592901e-03
         370       6.861389e-01       1.463747e-01       2.755830e-01       7.890777e-03       5.842963e-03       6.541399e-03
         380       6.647648e-01       1.405975e-01       2.675420e-01       4.715225e-03       2.228019e-03       3.317376e-03
         390       6.462997e-01       1.335786e-01       2.613934e-01       1.241214e-02       6.256551e-03       7.739551e-03
         400       6.337147e-01       1.353207e-01       2.550451e-01       6.807550e-03       1.314805e-03       4.123874e-03
         410       6.361970e-01       1.371534e-01       2.556985e-01       7.271316e-03       3.099483e-03       5.269612e-03
         420       6.544962e-01       1.371931e-01       2.639651e-01       6.060432e-03       3.110592e-03       4.351942e-03
         430       6.733949e-01       1.463169e-01       2.704544e-01       5.365590e-03       4.445894e-03       5.009611e-03
         440       6.883734e-01       1.546384e-01       2.758726e-01       5.720428e-03       2.970442e-03       3.852165e-03
         450       6.951823e-01       1.491062e-01       2.792989e-01       7.891407e-03       3.667197e-03       5.136714e-03
         460       6.902781e-01       1.486653e-01       2.773129e-01       4.615055e-03       2.287781e-03       3.171351e-03
         470       6.746669e-01       1.527441e-01       2.703498e-01       6.873743e-03       4.035972e-03       5.366073e-03
         480       6.568509e-01       1.458160e-01       2.635244e-01       3.364351e-03       2.183619e-03       2.740760e-03
         490       6.452968e-01       1.405953e-01       2.593823e-01       8.985389e-03       3.109550e-03       5.201121e-03
         500       6.392596e-01       1.458302e-01       2.562333e-01       2.849541e-03       1.873690e-03       2.390356e-03
         510       6.441312e-01       1.474907e-01       2.580922e-01       4.900444e-03       2.792293e-03       3.693321e-03
         520       6.586649e-01       1.460501e-01       2.643665e-01       4.233356e-03       1.949112e-03       3.509278e-03
         530       6.746167e-01       1.546742e-01       2.703545e-01       4.024417e-03       2.949153e-03       3.307766e-03
         540       6.873168e-01       1.619372e-01       2.751454e-01       5.933142e-03       3.038951e-03       4.154445e-03
         550       6.930692e-01       1.548562e-01       2.778810e-01       3.571590e-03       2.663195e-03       3.115289e-03
         560       6.899436e-01       1.529649e-01       2.768319e-01       6.733762e-03       3.332874e-03       4.631641e-03
         570       6.735110e-01       1.570262e-01       2.697386e-01       6.830909e-03       2.230588e-03       3.739437e-03
         580       6.524777e-01       1.471012e-01       2.616017e-01       4.357289e-03       3.243521e-03       3.776880e-03
         590       6.384785e-01       1.408326e-01       2.566294e-01       5.704457e-03       2.586132e-03       3.983938e-03
         600       6.328107e-01       1.482838e-01       2.536444e-01       7.684602e-03       5.045483e-03       6.009058e-03
         610       6.426686e-01       1.541359e-01       2.573499e-01       5.462844e-03       2.018824e-03       3.446117e-03
         620       6.679038e-01       1.566935e-01       2.677390e-01       1.217230e-02       3.942429e-03       6.896427e-03
         630       6.919211e-01       1.553124e-01       2.773585e-01       5.809414e-03       2.509832e-03       3.504443e-03
         640       7.060373e-01       1.639714e-01       2.828083e-01       1.393667e-02       4.380082e-03       1.081889e-02
         650       7.043445e-01       1.634235e-01       2.820325e-01       7.245643e-03       7.681569e-04       4.211864e-03
         660       6.897521e-01       1.518586e-01       2.768045e-01       8.041118e-03       3.544274e-03       6.283856e-03
         670       6.610740e-01       1.490570e-01       2.651366e-01       4.814801e-03       2.312960e-03       3.438648e-03
         680       6.378838e-01       1.474941e-01       2.554390e-01       7.700037e-03       5.371098e-03       6.314571e-03
         690       6.308437e-01       1.356516e-01       2.541897e-01       7.396008e-03       2.447254e-03       4.921123e-03
         700       6.362836e-01       1.376340e-01       2.563124e-01       1.164996e-02       3.527789e-03       6.023782e-03
         710       6.577398e-01       1.495601e-01       2.636642e-01       7.063208e-03       2.719641e-03       4.835952e-03
         720       6.827027e-01       1.470928e-01       2.744963e-01       9.911091e-03       3.552964e-03       6.609417e-03
         730       6.997220e-01       1.483322e-01       2.820502e-01       7.349345e-03       2.347030e-03       5.200499e-03
         740       6.984692e-01       1.557117e-01       2.802678e-01       7.162420e-03       4.436637e-03       5.735426e-03
         750       6.871042e-01       1.533398e-01       2.755922e-01       8.169425e-03       3.198817e-03       4.700735e-03
         760       6.694018e-01       1.445110e-01       2.696699e-01       1.092846e-02       3.847044e-03       6.307232e-03
         770       6.478851e-01       1.439381e-01       2.604834e-01       4.419972e-03       3.215945e-03       3.766647e-03
         780       6.367104e-01       1.436899e-01       2.553917e-01       5.530252e-03       3.106807e-03       4.458516e-03
         790       6.383536e-01       1.406071e-01       2.570058e-01       3.698175e-03       3.117613e-03       3.370176e-03
         800       6.491055e-01       1.451838e-01       2.611426e-01       6.352033e-03       2.997687e-03       4.512055e-03
         810       6.647448e-01       1.520527e-01       2.664916e-01       5.332450e-03       2.652682e-03       3.659093e-03
         820       6.810188e-01       1.516838e-01       2.734700e-01       3.788259e-03       2.361153e-03       3.166233e-03
         830       6.918054e-01       1.530793e-01       2.783053e-01       8.419443e-03       1.921696e-03       4.537259e-03
         840       6.894143e-01       1.573131e-01       2.765430e-01       5.101294e-03       2.193473e-03       3.512343e-03
         850       6.794162e-01       1.521505e-01       2.725716e-01       8.099820e-03       3.140869e-03       5.670139e-03
         860       6.634211e-01       1.440548e-01       2.674993e-01       5.345631e-03       3.091022e-03       4.322091e-03
         870       6.422910e-01       1.417719e-01       2.588454e-01       8.531474e-03       2.929581e-03       4.862360e-03
         880       6.284937e-01       1.394124e-01       2.525956e-01       7.186709e-03       6.474494e-03       6.800287e-03
         890       6.329721e-01       1.366231e-01       2.560820e-01       1.308469e-02       5.927259e-03       7.805388e-03
         900       6.545553e-01       1.442833e-01       2.645183e-01       6.380644e-03       1.497794e-03       4.103287e-03
         910       6.786094e-01       1.537441e-01       2.724422e-01       1.130917e-02       4.720996e-03       6.956135e-03
         920       7.001462e-01       1.556899e-01       2.816791e-01       7.468640e-03       2.855623e-03       5.185754e-03
         930       7.103674e-01       1.540105e-01       2.863379e-01       2.288542e-02       5.304146e-03       1.272016e-02
         940       6.948331e-01       1.561854e-01       2.789572e-01       7.642749e-03       1.507765e-03       4.415221e-03
         950       6.720773e-01       1.507599e-01       2.701216e-01       8.862757e-03       4.578279e-03       6.469061e-03
         960       6.470713e-01       1.437643e-01       2.603200e-01       6.866035e-03       2.598804e-03       4.283430e-03
         970       6.310936e-01       1.412563e-01       2.532589e-01       8.679643e-03       4.385512e-03       5.946926e-03
         980       6.327488e-01       1.439564e-01       2.541502e-01       7.190578e-03       3.391237e-03       4.622475e-03
         990       6.492768e-01       1.457522e-01       2.604658e-01       4.391851e-03       2.723517e-03       3.688230e-03
        1000       6.740773e-01       1.510575e-01       2.703082e-01       7.856641e-03       2.339462e-03       5.500737e-03
        1010       6.910172e-01       1.566823e-01       2.769794e-01       6.023473e-03       3.045004e-03       5.088224e-03
        1020       6.997846e-01       1.574574e-01       2.805272e-01       8.845910e-03       2.228721e-03       5.495729e-03
        1030       6.950620e-01       1.568526e-01       2.785619e-01       6.836510e-03       2.707026e-03       4.586513e-03
        1040       6.779476e-01       1.551206e-01       2.716612e-01       6.350481e-03       2.633890e-03       4.041791e-03
        1050       6.581156e-01       1.501038e-01       2.638763e-01       7.134022e-03       2.720516e-03       4.072445e-03
        1060       6.417318e-01       1.463504e-01       2.572044e-01       5.179074e-03       3.881538e-03       4.314738e-03
        1070       6.356243e-01       1.468948e-01       2.550116e-01       8.122594e-03       3.439377e-03       4.919156e-03
        1080       6.411237e-01       1.478396e-01       2.572056e-01       7.905937e-03       3.169370e-03       4.780134e-03
        1090       6.585304e-01       1.506309e-01       2.639632e-01       5.441094e-03       2.344165e-03       3.535860e-03
        1100       6.804063e-01       1.564162e-01       2.731588e-01       8.212664e-03       4.664669e-03       5.784303e-03
        1110       6.946862e-01       1.578299e-01       2.788944e-01       5.420849e-03       1.694112e-03       3.193377e-03
        1120       7.025231e-01       1.574320e-01       2.817747e-01       1.134941e-02       4.502097e-03       7.282844e-03
        1130       6.956958e-01       1.561441e-01       2.795728e-01       7.631656e-03       3.384972e-03       4.670027e-03
        1140       6.721383e-01       1.438541e-01       2.712575e-01       1.691335e-02       5.585829e-03       1.021291e-02
        1150       6.423906e-01       1.391531e-01       2.590516e-01       9.585684e-03       4.312373e-03       7.723779e-03
        1160       6.260678e-01       1.342822e-01       2.529970e-01       8.991287e-03       3.375040e-03       6.774850e-03
        1170       6.315685e-01       1.293497e-01       2.579295e-01       1.448279e-02       2.869388e-03       7.914370e-03
        1180       6.501464e-01       1.358185e-01       2.626796e-01       1.319210e-02       6.501858e-03       8.912019e-03
        1190       6.802799e-01       1.427894e-01       2.742127e-01       1.073748e-02       4.227917e-03       6.659313e-03
        1200       7.055662e-01       1.419278e-01       2.858142e-01       1.961769e-02       7.223959e-03       1.205229e-02
        1210       7.067022e-01       1.470589e-01       2.847835e-01       7.893041e-03       3.250719e-03       6.002434e-03
        1220       6.954758e-01       1.512383e-01       2.795459e-01       1.319044e-02       6.879598e-03       9.444447e-03
        1230       6.720554e-01       1.399411e-01       2.714247e-01       6.023508e-03       3.293998e-03       4.884215e-03
        1240       6.488084e-01       1.361863e-01       2.619079e-01       9.733986e-03       3.384684e-03       5.520736e-03
        1250       6.323011e-01       1.407938e-01       2.539424e-01       1.188914e-02       5.030134e-03       7.786193e-03
        1260       6.317100e-01       1.370078e-01       2.544109e-01       3.722701e-03       2.843736e-03       3.262063e-03
