#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       9.857214e-01       2.259017e-01       4.008435e-01       1.620313e-02       6.137445e-03       1.022005e-02
          10       1.012472e+00       2.284416e-01       4.093360e-01       2.665558e-02       1.172691e-02       1.639270e-02
          20       1.065854e+00       2.334435e-01       4.326751e-01       1.252566e-02       5.179239e-03       7.374061e-03
          30       1.109365e+00       2.370115e-01       4.508127e-01       2.602466e-02       7.816287e-03       1.540534e-02
          40       1.126036e+00       2.369180e-01       4.571463e-01       2.109079e-02       1.352618e-02       1.696461e-02
          50       1.104664e+00       2.334827e-01       4.521106e-01       1.080815e-02       4.207588e-03       6.595759e-03
          60       1.050552e+00       2.251687e-01       4.328143e-01       2.398853e-02       8.206149e-03       1.488955e-02
          70       9.985921e-01       2.194927e-01       4.112197e-01       2.173477e-02       1.164420e-02       1.637695e-02
          80       9.741431e-01       2.183349e-01       4.050371e-01       3.040184e-02       1.031339e-02       1.791732e-02
          90       9.797502e-01       2.171309e-01       4.086937e-01       2.618526e-02       1.019340e-02       1.479346e-02
         100       1.019959e+00       2.204645e-01       4.193483e-01       4.118304e-02       1.797841e-02       2.847225e-02
         110       1.093922e+00       2.361190e-01       4.495643e-01       1.750986e-02       5.821547e-03       1.025044e-02
         120       1.135339e+00       2.450499e-01       4.633879e-01       2.923689e-02       6.726402e-03       1.587941e-02
         130       1.114553e+00       2.442046e-01       4.495101e-01       4.174929e-02       1.925864e-02       2.729218e-02
         140       1.059020e+00       2.359998e-01       4.275650e-01       2.112451e-02       1.092018e-02       1.679328e-02
         150       9.896350e-01       2.137711e-01       4.110471e-01       1.456058e-02       9.564313e-03       1.197075e-02
         160       9.637241e-01       2.254583e-01       4.215253e-01       9.780693e-02       1.909101e-02       4.693089e-02
         170       9.940429e-01       2.244619e-01       4.181072e-01       3.700181e-02       1.115197e-02       2.572913e-02
         180       1.053386e+00       2.177436e-01       4.369790e-01       1.505225e-02       8.596160e-03       1.099685e-02
         190       1.103469e+00       2.350581e-01       4.592703e-01       3.993892e-02       8.972587e-03       2.054193e-02
         200       1.131195e+00       2.313894e-01       4.589672e-01       1.795170e-02       5.067221e-03       1.227921e-02
         210       1.120066e+00       2.370882e-01       4.542776e-01       1.384851e-02       8.569624e-03       1.118082e-02
         220       1.067688e+00       2.370426e-01       4.338045e-01       1.553904e-02       5.063448e-03       8.084679e-03
         230       1.017598e+00       2.337597e-01       4.095166e-01       1.632960e-02       6.404667e-03       1.024821e-02
         240       9.911638e-01       2.316071e-01       3.999421e-01       1.318399e-02       5.644028e-03       8.640886e-03
         250       9.825989e-01       2.318891e-01       3.974071e-01       1.884878e-02       8.424319e-03       1.386980e-02
         260       1.010702e+00       2.306101e-01       4.084714e-01       1.528860e-02       4.704934e-03       8.150366e-03
         270       1.063740e+00       2.352347e-01       4.308660e-01       8.607636e-03       5.108018e-03       7.124758e-03
         280       1.108014e+00       2.361204e-01       4.482998e-01       2.166040e-02       1.384964e-02       1.637385e-02
         290       1.133326e+00       2.363359e-01       4.628642e-01       2.251859e-02       9.755756e-03       1.342360e-02
         300       1.121552e+00       2.322099e-01       4.615385e-01       2.094135e-02       7.999011e-03       1.222734e-02
