# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.81e+01  9.22e+01    6.62e+00  6.59e+00    2.79e+00  2.91e+00    1.0e-03
   1000    3.82e+00  3.96e+00    1.03e-01  1.03e-01    1.37e-01  1.42e-01    7.7e-04
   2000    3.24e+00  3.42e+00    1.46e-02  1.45e-02    1.32e-01  1.40e-01    6.0e-04
   3000    2.78e+00  2.99e+00    2.53e-03  2.49e-03    1.29e-01  1.39e-01    4.6e-04
   4000    2.40e+00  2.60e+00    2.10e-03  2.10e-03    1.27e-01  1.37e-01    3.6e-04
   5000    2.08e+00  2.25e+00    2.14e-02  2.13e-02    1.25e-01  1.35e-01    2.8e-04
   6000    1.79e+00  1.94e+00    3.03e-02  3.02e-02    1.22e-01  1.32e-01    2.1e-04
   7000    1.54e+00  1.67e+00    2.94e-02  2.94e-02    1.19e-01  1.29e-01    1.7e-04
   8000    1.32e+00  1.45e+00    2.42e-02  2.41e-02    1.16e-01  1.27e-01    1.3e-04
   9000    1.15e+00  1.26e+00    1.90e-02  1.89e-02    1.14e-01  1.25e-01    9.9e-05
  10000    1.00e+00  1.10e+00    1.45e-02  1.43e-02    1.13e-01  1.24e-01    7.7e-05
  11000    8.76e-01  9.62e-01    1.07e-02  1.05e-02    1.13e-01  1.24e-01    6.0e-05
  12000    7.69e-01  8.46e-01    8.66e-03  8.46e-03    1.12e-01  1.23e-01    4.6e-05
  13000    6.78e-01  7.45e-01    5.76e-03  5.55e-03    1.12e-01  1.23e-01    3.6e-05
  14000    5.97e-01  6.57e-01    7.60e-03  7.41e-03    1.12e-01  1.23e-01    2.8e-05
  15000    5.27e-01  5.80e-01    5.56e-03  5.37e-03    1.11e-01  1.23e-01    2.1e-05
  16000    4.66e-01  5.13e-01    3.84e-03  3.64e-03    1.11e-01  1.23e-01    1.7e-05
  17000    4.13e-01  4.55e-01    3.60e-03  3.40e-03    1.11e-01  1.23e-01    1.3e-05
  18000    3.67e-01  4.04e-01    3.24e-03  3.05e-03    1.11e-01  1.23e-01    9.9e-06
  19000    3.27e-01  3.60e-01    2.76e-03  2.57e-03    1.11e-01  1.22e-01    7.7e-06
  20000    2.93e-01  3.22e-01    2.41e-03  2.22e-03    1.11e-01  1.22e-01    5.9e-06
  21000    2.63e-01  2.89e-01    2.26e-03  2.08e-03    1.11e-01  1.22e-01    4.6e-06
  22000    2.37e-01  2.61e-01    1.60e-03  1.43e-03    1.11e-01  1.22e-01    3.5e-06
  23000    2.15e-01  2.37e-01    1.11e-03  9.58e-04    1.11e-01  1.22e-01    2.7e-06
  24000    1.97e-01  2.16e-01    8.35e-04  7.11e-04    1.11e-01  1.22e-01    2.1e-06
  25000    1.81e-01  1.99e-01    6.37e-04  5.51e-04    1.11e-01  1.22e-01    1.6e-06
  26000    1.68e-01  1.84e-01    4.81e-04  4.51e-04    1.11e-01  1.22e-01    1.3e-06
  27000    1.57e-01  1.72e-01    5.19e-04  4.71e-04    1.11e-01  1.22e-01    9.8e-07
  28000    1.48e-01  1.62e-01    8.54e-04  7.29e-04    1.11e-01  1.22e-01    7.6e-07
  29000    1.40e-01  1.54e-01    8.03e-04  6.85e-04    1.11e-01  1.22e-01    5.9e-07
  30000    1.34e-01  1.48e-01    7.42e-04  6.34e-04    1.11e-01  1.22e-01    4.6e-07
  31000    1.29e-01  1.42e-01    6.94e-04  5.96e-04    1.11e-01  1.22e-01    3.5e-07
  32000    1.25e-01  1.38e-01    6.60e-04  5.69e-04    1.11e-01  1.22e-01    2.7e-07
  33000    1.22e-01  1.35e-01    6.47e-04  5.59e-04    1.11e-01  1.22e-01    2.1e-07
  34000    1.20e-01  1.32e-01    6.87e-04  5.90e-04    1.11e-01  1.22e-01    1.6e-07
  35000    1.18e-01  1.30e-01    7.75e-04  6.62e-04    1.11e-01  1.22e-01    1.3e-07
  36000    1.17e-01  1.28e-01    7.82e-04  6.68e-04    1.11e-01  1.22e-01    9.8e-08
  37000    1.15e-01  1.27e-01    7.51e-04  6.42e-04    1.11e-01  1.22e-01    7.6e-08
  38000    1.14e-01  1.26e-01    7.23e-04  6.19e-04    1.11e-01  1.22e-01    5.9e-08
  39000    1.14e-01  1.25e-01    7.02e-04  6.02e-04    1.11e-01  1.22e-01    4.5e-08
  40000    1.13e-01  1.25e-01    6.87e-04  5.90e-04    1.11e-01  1.22e-01    3.5e-08
