#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       1.026475e+00       2.217206e-01       4.223774e-01       1.738412e-02       7.327258e-03       1.105918e-02
          10       1.023172e+00       2.172793e-01       4.219404e-01       1.353137e-02       8.557353e-03       1.018265e-02
          20       1.033113e+00       2.246023e-01       4.271941e-01       1.602283e-02       7.005376e-03       1.057046e-02
          30       1.052195e+00       2.242445e-01       4.342301e-01       1.449694e-02       6.059838e-03       9.531576e-03
          40       1.075618e+00       2.215880e-01       4.419578e-01       1.032720e-02       5.723087e-03       8.069737e-03
          50       1.086450e+00       2.286168e-01       4.461337e-01       8.661655e-03       6.057858e-03       7.275130e-03
          60       1.080165e+00       2.305434e-01       4.413315e-01       6.607334e-03       5.738144e-03       6.219505e-03
          70       1.064104e+00       2.299664e-01       4.321551e-01       7.504450e-03       5.716265e-03       6.826852e-03
          80       1.045036e+00       2.327118e-01       4.237912e-01       1.038567e-02       3.941435e-03       6.194623e-03
          90       1.031132e+00       2.339491e-01       4.168714e-01       8.482260e-03       5.019444e-03       6.408792e-03
         100       1.030591e+00       2.357513e-01       4.150082e-01       7.564299e-03       3.490696e-03       5.071264e-03
         110       1.040715e+00       2.371658e-01       4.186073e-01       8.106635e-03       3.859524e-03       5.434184e-03
         120       1.056011e+00       2.416532e-01       4.237930e-01       6.297634e-03       2.884325e-03       4.317309e-03
         130       1.071117e+00       2.437594e-01       4.298108e-01       6.335707e-03       2.950838e-03       4.616674e-03
         140       1.079658e+00       2.443519e-01       4.334627e-01       4.763309e-03       3.391058e-03       4.155643e-03
         150       1.079236e+00       2.463101e-01       4.322222e-01       5.744425e-03       3.851255e-03       4.708565e-03
         160       1.069129e+00       2.433419e-01       4.286511e-01       4.670669e-03       3.257710e-03       3.929709e-03
         170       1.053636e+00       2.398508e-01       4.236018e-01       8.605580e-03       4.045175e-03       5.729881e-03
         180       1.041104e+00       2.384195e-01       4.175416e-01       5.630388e-03       3.307901e-03       4.663579e-03
         190       1.033161e+00       2.354961e-01       4.146607e-01       5.910792e-03       3.887902e-03       4.851438e-03
         200       1.032698e+00       2.343414e-01       4.172268e-01       1.394960e-02       3.478708e-03       6.729640e-03
         210       1.045911e+00       2.344536e-01       4.227934e-01       8.465213e-03       4.847322e-03       6.113032e-03
         220       1.066035e+00       2.354613e-01       4.313127e-01       8.167489e-03       6.515642e-03       7.046827e-03
         230       1.079189e+00       2.333531e-01       4.416087e-01       1.646163e-02       3.544660e-03       8.398360e-03
         240       1.083109e+00       2.314746e-01       4.457069e-01       1.281760e-02       6.987518e-03       8.636986e-03
         250       1.070856e+00       2.251743e-01       4.401480e-01       1.175894e-02       8.519295e-03       9.704534e-03
         260       1.043937e+00       2.186630e-01       4.314981e-01       1.671935e-02       7.582649e-03       1.222932e-02
         270       1.024349e+00       2.258613e-01       4.256446e-01       1.798917e-02       5.609886e-03       9.690718e-03
         280       1.019155e+00       2.223062e-01       4.206217e-01       1.464987e-02       7.430553e-03       1.143755e-02
         290       1.027408e+00       2.162755e-01       4.212045e-01       1.112267e-02       5.754018e-03       8.433953e-03
         300       1.046658e+00       2.272278e-01       4.293136e-01       1.622956e-02       5.688657e-03       8.348609e-03
