# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    6.53e+01  6.81e+01    5.97e+00  5.95e+00    2.06e+00  2.15e+00    1.0e-03
   1000    4.96e+00  5.22e+00    4.81e-02  4.80e-02    1.78e-01  1.88e-01    7.7e-04
   2000    3.45e+00  3.83e+00    1.93e-02  2.01e-02    1.41e-01  1.56e-01    6.0e-04
   3000    2.86e+00  3.16e+00    4.34e-03  4.36e-03    1.33e-01  1.47e-01    4.6e-04
   4000    2.47e+00  3.12e+00    8.03e-03  7.62e-03    1.30e-01  1.65e-01    3.6e-04
   5000    2.10e+00  2.51e+00    8.00e-03  8.33e-03    1.26e-01  1.51e-01    2.8e-04
   6000    2.02e+00  2.05e+00    3.36e-02  3.41e-02    1.38e-01  1.39e-01    2.1e-04
   7000    1.56e+00  9.95e-01    1.73e-03  1.62e-03    1.21e-01  7.70e-02    1.7e-04
   8000    1.35e+00  1.13e+00    2.34e-02  2.32e-02    1.19e-01  9.87e-02    1.3e-04
   9000    1.18e+00  1.21e+00    2.19e-02  2.19e-02    1.18e-01  1.20e-01    9.9e-05
  10000    1.06e+00  9.57e-01    8.79e-03  9.18e-03    1.21e-01  1.08e-01    7.7e-05
  11000    7.97e-01  8.02e-01    4.44e-03  3.86e-03    1.02e-01  1.03e-01    6.0e-05
  12000    7.96e-01  8.63e-01    6.63e-03  6.83e-03    1.16e-01  1.26e-01    4.6e-05
  13000    7.00e-01  8.97e-01    5.49e-03  5.20e-03    1.16e-01  1.48e-01    3.6e-05
  14000    6.16e-01  5.68e-01    3.82e-03  4.28e-03    1.15e-01  1.06e-01    2.8e-05
  15000    4.99e-01  5.14e-01    4.06e-03  3.98e-03    1.06e-01  1.09e-01    2.1e-05
  16000    4.09e-01  4.13e-01    2.23e-03  2.44e-03    9.78e-02  9.86e-02    1.7e-05
  17000    4.29e-01  5.52e-01    4.07e-03  3.70e-03    1.16e-01  1.49e-01    1.3e-05
  18000    3.82e-01  5.01e-01    9.33e-04  1.47e-03    1.16e-01  1.52e-01    9.9e-06
  19000    3.39e-01  3.67e-01    2.23e-03  2.43e-03    1.15e-01  1.25e-01    7.7e-06
  20000    3.06e-01  4.01e-01    1.48e-03  1.27e-03    1.16e-01  1.52e-01    5.9e-06
  21000    2.75e-01  2.58e-01    1.44e-03  1.04e-03    1.17e-01  1.09e-01    4.6e-06
  22000    2.47e-01  2.73e-01    8.83e-04  2.05e-03    1.16e-01  1.28e-01    3.5e-06
  23000    1.86e-01  2.02e-01    2.71e-03  2.77e-03    9.60e-02  1.04e-01    2.7e-06
  24000    2.06e-01  2.64e-01    1.94e-03  2.44e-03    1.16e-01  1.50e-01    2.1e-06
  25000    1.89e-01  1.61e-01    1.46e-03  1.18e-03    1.16e-01  9.90e-02    1.6e-06
  26000    1.75e-01  2.36e-01    5.38e-04  5.41e-04    1.16e-01  1.56e-01    1.3e-06
  27000    1.63e-01  1.82e-01    1.52e-03  8.85e-04    1.16e-01  1.29e-01    9.8e-07
  28000    1.54e-01  2.02e-01    3.77e-04  9.79e-04    1.16e-01  1.52e-01    7.6e-07
  29000    1.46e-01  1.86e-01    1.62e-03  1.12e-03    1.16e-01  1.48e-01    5.9e-07
  30000    1.40e-01  1.70e-01    2.45e-04  1.25e-03    1.16e-01  1.41e-01    4.6e-07
  31000    1.35e-01  1.54e-01    4.08e-04  5.31e-04    1.16e-01  1.33e-01    3.5e-07
  32000    1.31e-01  1.46e-01    6.13e-04  6.20e-04    1.16e-01  1.29e-01    2.7e-07
  33000    1.28e-01  1.42e-01    5.35e-04  6.65e-04    1.16e-01  1.29e-01    2.1e-07
  34000    1.25e-01  1.65e-01    3.17e-04  6.76e-04    1.16e-01  1.53e-01    1.6e-07
  35000    1.03e-01  1.11e-01    1.41e-03  1.86e-03    9.69e-02  1.05e-01    1.3e-07
  36000    1.22e-01  1.31e-01    4.08e-04  6.62e-04    1.16e-01  1.25e-01    9.8e-08
  37000    1.20e-01  1.41e-01    7.29e-04  6.23e-04    1.16e-01  1.36e-01    7.6e-08
  38000    1.19e-01  1.37e-01    5.79e-04  5.18e-04    1.16e-01  1.33e-01    5.9e-08
  39000    1.19e-01  1.78e-01    6.88e-04  7.66e-04    1.16e-01  1.74e-01    4.5e-08
  40000    1.18e-01  1.00e-01    6.20e-04  4.02e-04    1.16e-01  9.87e-02    3.5e-08
