#       step         max_devi_e         min_devi_e         avg_devi_e         max_devi_f         min_devi_f         avg_devi_f
           0       9.803708e-01       2.145086e-01       4.024581e-01       1.792940e-02       8.463909e-03       1.400787e-02
          10       1.048782e+00       2.269953e-01       4.319525e-01       2.513176e-02       8.948646e-03       1.304759e-02
          20       1.128618e+00       2.319938e-01       4.617728e-01       1.029374e-02       6.153415e-03       8.184630e-03
          30       1.170903e+00       2.335988e-01       4.770818e-01       1.768532e-02       1.268381e-02       1.485086e-02
          40       1.153846e+00       2.311759e-01       4.720272e-01       1.457543e-02       8.864139e-03       1.122261e-02
          50       1.083398e+00       2.237258e-01       4.437537e-01       1.128893e-02       6.532172e-03       8.297414e-03
          60       1.002649e+00       2.212004e-01       4.127623e-01       1.795733e-02       1.069030e-02       1.469689e-02
          70       9.581999e-01       2.224378e-01       3.994993e-01       3.002698e-02       1.012301e-02       1.693297e-02
          80       9.559683e-01       2.180876e-01       3.997105e-01       2.546582e-02       1.076729e-02       1.725959e-02
          90       9.993889e-01       2.183979e-01       4.121672e-01       2.087314e-02       1.091432e-02       1.604324e-02
         100       1.080075e+00       2.272085e-01       4.460332e-01       1.197208e-02       7.084269e-03       9.356002e-03
         110       1.154203e+00       2.350620e-01       4.768563e-01       2.128145e-02       7.570932e-03       1.385444e-02
         120       1.180355e+00       2.311113e-01       4.833277e-01       3.106879e-02       1.175243e-02       2.194504e-02
         130       1.140693e+00       2.269007e-01       4.707059e-01       2.166667e-02       1.052927e-02       1.414929e-02
         140       1.051453e+00       2.316085e-01       4.389213e-01       3.147831e-02       1.072958e-02       1.767956e-02
         150       9.744649e-01       2.196453e-01       4.061584e-01       1.756848e-02       9.309334e-03       1.484025e-02
         160       9.458458e-01       2.252673e-01       3.950203e-01       3.556785e-02       1.491290e-02       2.126658e-02
         170       9.630328e-01       2.263320e-01       4.018706e-01       3.072475e-02       1.293592e-02       1.887980e-02
         180       1.026788e+00       2.202240e-01       4.212744e-01       2.213828e-02       7.340468e-03       1.231103e-02
         190       1.120207e+00       2.376547e-01       4.527671e-01       1.478179e-02       9.009327e-03       1.286661e-02
         200       1.177562e+00       2.328633e-01       4.779817e-01       1.634498e-02       7.848241e-03       1.114274e-02
         210       1.164250e+00       2.404274e-01       4.810878e-01       5.340895e-02       1.632895e-02       2.743166e-02
         220       1.103635e+00       2.213595e-01       4.529063e-01       1.489504e-02       8.446097e-03       1.220201e-02
         230       1.022632e+00       2.254511e-01       4.269929e-01       2.215171e-02       8.662195e-03       1.546822e-02
         240       9.710170e-01       2.287129e-01       4.168851e-01       7.750469e-02       1.426926e-02       3.706014e-02
         250       9.735976e-01       2.190799e-01       4.066815e-01       2.562770e-02       7.700650e-03       1.572226e-02
         260       1.011816e+00       2.181840e-01       4.159640e-01       1.090103e-02       7.204579e-03       9.558247e-03
         270       1.072180e+00       2.312744e-01       4.410687e-01       1.946729e-02       6.123143e-03       1.045627e-02
         280       1.134952e+00       2.351085e-01       4.608274e-01       1.039484e-02       4.911726e-03       7.726095e-03
         290       1.156608e+00       2.329757e-01       4.687137e-01       1.056523e-02       7.676090e-03       9.320032e-03
         300       1.127325e+00       2.295877e-01       4.606277e-01       1.114237e-02       9.251723e-03       1.036654e-02
