# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    8.91e+01  9.19e+01    9.76e+00  9.74e+00    2.82e+00  2.91e+00    1.0e-03
   1000    3.81e+00  3.95e+00    2.80e-02  2.78e-02    1.37e-01  1.42e-01    7.7e-04
   2000    3.31e+00  3.51e+00    3.80e-02  3.83e-02    1.35e-01  1.43e-01    6.0e-04
   3000    2.77e+00  2.96e+00    6.08e-02  6.10e-02    1.28e-01  1.37e-01    4.6e-04
   4000    2.37e+00  2.55e+00    5.23e-02  5.24e-02    1.25e-01  1.34e-01    3.6e-04
   5000    2.05e+00  2.21e+00    8.65e-03  8.57e-03    1.23e-01  1.32e-01    2.8e-04
   6000    1.77e+00  1.91e+00    2.56e-02  2.55e-02    1.21e-01  1.30e-01    2.1e-04
   7000    1.53e+00  1.66e+00    2.52e-02  2.51e-02    1.18e-01  1.28e-01    1.7e-04
   8000    1.33e+00  1.44e+00    2.42e-02  2.40e-02    1.17e-01  1.27e-01    1.3e-04
   9000    1.16e+00  1.26e+00    2.34e-02  2.32e-02    1.16e-01  1.25e-01    9.9e-05
  10000    1.02e+00  1.10e+00    2.18e-02  2.16e-02    1.15e-01  1.25e-01    7.7e-05
  11000    8.93e-01  9.70e-01    1.93e-02  1.91e-02    1.15e-01  1.24e-01    6.0e-05
  12000    7.83e-01  8.52e-01    1.81e-02  1.79e-02    1.14e-01  1.24e-01    4.6e-05
  13000    6.91e-01  7.51e-01    1.24e-02  1.21e-02    1.14e-01  1.24e-01    3.6e-05
  14000    6.08e-01  6.62e-01    1.22e-02  1.20e-02    1.14e-01  1.24e-01    2.8e-05
  15000    5.37e-01  5.85e-01    9.99e-03  9.79e-03    1.13e-01  1.24e-01    2.1e-05
  16000    4.75e-01  5.17e-01    7.85e-03  7.63e-03    1.13e-01  1.24e-01    1.7e-05
  17000    4.21e-01  4.59e-01    7.11e-03  6.91e-03    1.13e-01  1.24e-01    1.3e-05
  18000    3.74e-01  4.08e-01    5.78e-03  5.58e-03    1.13e-01  1.23e-01    9.9e-06
  19000    3.33e-01  3.63e-01    4.38e-03  4.17e-03    1.13e-01  1.23e-01    7.7e-06
  20000    2.98e-01  3.25e-01    3.25e-03  3.04e-03    1.13e-01  1.23e-01    5.9e-06
  21000    2.67e-01  2.92e-01    2.54e-03  2.34e-03    1.13e-01  1.23e-01    4.6e-06
  22000    2.41e-01  2.63e-01    2.77e-03  2.57e-03    1.13e-01  1.23e-01    3.5e-06
  23000    2.19e-01  2.39e-01    3.01e-03  2.81e-03    1.13e-01  1.23e-01    2.7e-06
  24000    2.00e-01  2.18e-01    2.33e-03  2.14e-03    1.13e-01  1.23e-01    2.1e-06
  25000    1.84e-01  2.01e-01    1.77e-03  1.58e-03    1.13e-01  1.23e-01    1.6e-06
  26000    1.70e-01  1.86e-01    1.16e-03  9.99e-04    1.13e-01  1.23e-01    1.3e-06
  27000    1.59e-01  1.74e-01    8.23e-04  6.90e-04    1.13e-01  1.23e-01    9.8e-07
  28000    1.50e-01  1.64e-01    6.90e-04  5.78e-04    1.13e-01  1.23e-01    7.6e-07
  29000    1.43e-01  1.56e-01    6.08e-04  5.15e-04    1.13e-01  1.23e-01    5.9e-07
  30000    1.36e-01  1.49e-01    5.41e-04  4.69e-04    1.13e-01  1.23e-01    4.6e-07
  31000    1.31e-01  1.43e-01    4.85e-04  4.36e-04    1.13e-01  1.23e-01    3.5e-07
  32000    1.28e-01  1.39e-01    4.67e-04  4.27e-04    1.13e-01  1.23e-01    2.7e-07
  33000    1.24e-01  1.36e-01    5.81e-04  4.96e-04    1.13e-01  1.23e-01    2.1e-07
  34000    1.22e-01  1.33e-01    7.35e-04  6.15e-04    1.13e-01  1.23e-01    1.6e-07
  35000    1.20e-01  1.31e-01    7.70e-04  6.44e-04    1.13e-01  1.23e-01    1.3e-07
  36000    1.18e-01  1.29e-01    7.59e-04  6.35e-04    1.13e-01  1.23e-01    9.8e-08
  37000    1.17e-01  1.28e-01    7.39e-04  6.18e-04    1.13e-01  1.23e-01    7.6e-08
  38000    1.16e-01  1.27e-01    7.20e-04  6.03e-04    1.13e-01  1.23e-01    5.9e-08
  39000    1.16e-01  1.26e-01    7.05e-04  5.90e-04    1.13e-01  1.23e-01    4.5e-08
  40000    1.15e-01  1.26e-01    6.93e-04  5.81e-04    1.13e-01  1.23e-01    3.5e-08
